,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
0,895.5,488.4553333333333,472.09583333333336,0.2662017659131247,61.94999999999998
1,836.0666666666667,648.0176666666666,212.76090000000002,0.27600212152851983,32.70266666666666
2,854.1666666666666,617.3713333333332,321.0013,0.306175534819276,44.92633333333334
3,826.4333333333333,688.6546666666667,264.0013,0.365202352769313,33.19366666666667
4,922.7666666666667,408.44800000000004,757.0431333333332,0.2496891057426958,95.235
5,929.8,374.3356666666666,678.6376666666666,0.22914590662838683,108.23333333333332
6,901.5333333333333,482.05800000000005,434.8489666666667,0.24974674707334335,63.753
7,783.5,756.6173333333335,165.72296666666665,0.3577557219271847,24.171666666666667
8,896.7333333333333,484.20066666666656,468.37603333333334,0.26452046187341866,61.206999999999994
9,897.5,501.7553333333333,464.01320000000004,0.25869003624292136,67.79433333333333
10,866.0666666666667,572.996,281.1100333333333,0.27571011913596516,42.73433333333334
11,862.6,586.7610000000001,296.12966666666665,0.2900625174962571,44.67566666666667
12,859.5333333333333,597.5199999999999,303.4418333333333,0.2972205152548188,48.40833333333333
13,795.4,720.6763333333333,139.58043333333333,0.3041763156108158,24.395666666666667
14,854.1666666666666,618.0629999999999,332.35866666666675,0.3111087602090932,38.745666666666665
15,902.4666666666667,456.8876666666666,412.9678,0.24662062292873255,75.28800000000001
16,860.3666666666667,596.1273333333334,308.8915999999999,0.28705306104330147,49.271
17,834.9666666666667,661.0326666666666,234.58750000000003,0.30987273895948897,32.812666666666665
18,919.7333333333333,426.188,805.7101666666669,0.25628360756082075,92.72033333333333
19,930.7666666666667,367.5970000000001,669.4085000000001,0.22411717903853776,104.20766666666665
20,896.8333333333334,503.517,469.5527666666666,0.26799223234142383,69.018
21,924.1,402.1166666666667,732.5234333333333,0.24331952064386198,111.25700000000003
22,827.0,687.4923333333334,259.5464,0.33724810216447404,34.86333333333334
23,863.9333333333333,579.5436666666667,277.5515666666667,0.27226041446335253,48.88266666666668
24,783.9333333333333,756.7476666666665,166.86693333333332,0.3508393470116666,20.179
25,893.0,519.8816666666668,492.9298666666666,0.2708179670625507,58.31033333333331
26,891.4,509.6206666666667,500.3698000000001,0.2668421041260608,58.97233333333334
27,895.9,484.67533333333336,455.6118000000001,0.252086533847748,73.00266666666668
28,899.1666666666666,473.8159999999999,449.3872666666667,0.2529532727978196,64.61500000000001
