,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,mlit_select,del_t,rank_punish,rank_t,strikes_t,scenario,policy,model
79,79.0,3.0,0.9871723974749688,1.0,12.0,0.2919314348444234,0.0205464375359693,0.0229932059028394,9.0,100.0,20.0,10.0,30.0,0.0,29,1,MisinfoPy
80,75.0,2.0,0.9941862919647434,2.0,8.0,0.3143371026457791,0.010048341660904,0.0175953677659886,10.0,100.0,20.0,10.0,30.0,0.0,30,1,MisinfoPy
81,75.0,2.0,0.980839650082909,0.0,10.0,0.3432136850880645,0.0267889428556949,0.0265630001792501,10.0,100.0,20.0,10.0,30.0,0.0,31,1,MisinfoPy
82,75.0,3.0,0.9832082300963012,0.0,12.0,0.3001333701207734,0.0193899750225625,0.0204426076380287,15.0,100.0,20.0,10.0,30.0,0.0,32,1,MisinfoPy
83,79.0,3.0,0.9949649761964962,1.0,9.0,0.2798633794927822,0.0180559652549399,0.0165466737019088,11.0,100.0,20.0,10.0,30.0,0.0,33,1,MisinfoPy
84,76.0,3.0,0.9857188734506308,0.0,8.0,0.3368246697878725,0.0227140740920445,0.0234660955643312,14.0,100.0,20.0,10.0,30.0,0.0,34,1,MisinfoPy
85,75.0,3.0,0.9841799573680928,0.0,11.0,0.2848274272775347,0.0248722130915869,0.021236196859546,13.0,100.0,20.0,10.0,30.0,0.0,35,1,MisinfoPy
86,77.0,3.0,0.9863372938435412,2.0,12.0,0.2660267522760609,0.0174922242008906,0.01687817970596,12.0,100.0,20.0,10.0,30.0,0.0,36,1,MisinfoPy
87,76.0,2.0,0.9866891448561678,0.0,12.0,0.2951769716109299,0.0134072426919024,0.0222635906039256,9.0,100.0,20.0,10.0,30.0,0.0,37,1,MisinfoPy
88,78.0,2.0,0.9911871047293532,2.0,9.0,0.3223137647319514,0.0128122553893868,0.0250664719876734,12.0,100.0,20.0,10.0,30.0,0.0,38,1,MisinfoPy
89,76.0,2.0,0.9906275873054028,2.0,9.0,0.2534461816563311,0.025602344875336,0.0290558105065178,7.0,100.0,20.0,10.0,30.0,0.0,39,1,MisinfoPy
90,77.0,2.0,0.9944527233446816,1.0,8.0,0.2976823576069445,0.0240759905631581,0.0254923023964972,5.0,100.0,20.0,10.0,30.0,0.0,40,1,MisinfoPy
91,79.0,2.0,0.9933952793096776,0.0,10.0,0.3203072837914983,0.0268499739730088,0.0188826506970489,15.0,100.0,20.0,10.0,30.0,0.0,41,1,MisinfoPy
92,78.0,3.0,0.9939547475744324,1.0,12.0,0.3259081363072013,0.0187560997332204,0.0198510707070524,8.0,100.0,20.0,10.0,30.0,0.0,42,1,MisinfoPy
93,75.0,3.0,0.9931745327114798,2.0,9.0,0.3396844646252156,0.0253410461441071,0.0177279686640718,6.0,100.0,20.0,10.0,30.0,0.0,43,1,MisinfoPy
94,80.0,3.0,0.9814755221372012,0.0,10.0,0.3044675021765791,0.0161685803509148,0.0296119659563395,7.0,100.0,20.0,10.0,30.0,0.0,44,1,MisinfoPy
95,76.0,3.0,0.9882869853935184,1.0,11.0,0.3116418414654133,0.0292784707204162,0.0208771543637324,13.0,100.0,20.0,10.0,30.0,0.0,45,1,MisinfoPy
96,76.0,3.0,0.9821409560417576,0.0,12.0,0.2834463496847514,0.0156293030093474,0.0113338955165811,8.0,100.0,20.0,10.0,30.0,0.0,46,1,MisinfoPy
97,79.0,2.0,0.992160479381022,2.0,8.0,0.2930366811125681,0.0114317577284685,0.0216626715011127,6.0,100.0,20.0,10.0,30.0,0.0,47,1,MisinfoPy
98,80.0,3.0,0.9833413177362758,0.0,11.0,0.3275693993033615,0.0218953129930909,0.0184663751497411,7.0,100.0,20.0,10.0,30.0,0.0,48,1,MisinfoPy
99,79.0,2.0,0.9896398557743792,0.0,12.0,0.2606261146969253,0.019907872288691,0.025697594767068,12.0,100.0,20.0,10.0,30.0,0.0,49,1,MisinfoPy
100,80.0,2.0,0.985177411651043,2.0,11.0,0.2686036932278577,0.0299253839649301,0.0203407351222199,5.0,100.0,30.0,10.0,50.0,0.0,0,2,MisinfoPy
101,79.0,3.0,0.9936622762534888,0.0,8.0,0.2734148754443381,0.0111337533725977,0.0155041632991381,6.0,100.0,30.0,10.0,50.0,0.0,1,2,MisinfoPy
102,80.0,2.0,0.9817120085306312,1.0,10.0,0.3165026774305036,0.0150658899662497,0.0274639197892285,6.0,100.0,30.0,10.0,50.0,0.0,2,2,MisinfoPy
103,75.0,3.0,0.982717701047632,0.0,12.0,0.2898453201200917,0.0104389416481989,0.0263952393509819,10.0,100.0,30.0,10.0,50.0,0.0,3,2,MisinfoPy
104,80.0,3.0,0.9847023205679452,2.0,11.0,0.2715953720241978,0.0229946884963286,0.0120140444315901,15.0,100.0,30.0,10.0,50.0,0.0,4,2,MisinfoPy
