,Replication,"(0.0, -0.0, 0.0, 0.0, 0.0)"
0,0,"([79, 96, 100, 80, 84, 64, 18, 36, 42, 91], [88.07643108097298, 93.13020105538627, 98.19789334324392, 87.70188609182689, 87.87574349716796, 87.81418259066753, 87.52607226964926, 86.12999814477034, 85.2288555131778, 87.59470299882314])"
1,1,"([89, 11, 73, 75, 59, 80, 21, 20, 69, 59], [85.1626510564576, 84.21292210676816, 85.14537221621961, 82.69071308665974, 82.70773437721704, 82.91773262472336, 84.32209852480797, 81.80760604903777, 79.1414255148479, 80.78732978845136])"
2,2,"([87, 31, 52, 89, 72, 66, 12, 20, 77, 99], [86.23039959536995, 85.22324237287472, 85.62411788203002, 87.09917382891135, 85.92936131818526, 84.66681545695167, 81.60520491383221, 85.9635044872612, 88.38258532618609, 96.67865722392872])"
3,3,"([87, 17, 69, 10, 51, 28, 51, 30, 64, 25], [80.92997711817723, 81.01794431726165, 80.09168815439112, 80.85737299279745, 80.34564240850182, 78.25918249910814, 78.4431680133005, 80.52227127342806, 80.67910172503402, 80.57005055674666])"
4,4,"([34, 19, 20, 47, 68, 90, 65, 18, 75, 85], [79.04668586632832, 79.62837808294631, 82.10480130556269, 78.36457537714274, 80.33812204063129, 83.31522145419781, 81.498283930392, 80.378831750758, 77.93527393104345, 81.63822828428894])"
5,5,"([64, 80, 70, 69, 100, 76, 21, 44, 23, 5], [81.31485675546244, 77.52503842601271, 87.44959827393012, 77.6579415719713, 96.90467713169792, 79.76782186062827, 78.01895864474356, 81.77271378493619, 78.29354198057351, 7.881022366850547])"
6,6,"([73, 49, 96, 57, 58, 94, 10, 64, 50, 60], [81.17426256149079, 79.4187108540879, 82.47665445906864, 81.02223066763311, 82.22528512165127, 83.38079774793543, 78.92731432491094, 80.49344047927949, 79.17640524166991, 82.9414640893713])"
7,7,"([100, 15, 10, 3, 55, 10, 71, 43, 100, 79], [99.29551046716279, 91.24494956644453, 91.98605246621517, 88.90432454415895, 87.21703639158974, 90.06716624365001, 89.69363867800496, 92.45624594688323, 99.30883864785446, 93.88514996224245])"
8,8,"([72, 26, 90, 85, 33, 53, 25, 44, 94, 2], [80.49497866591736, 79.69256502793966, 85.01665000858978, 80.05151594587198, 79.57159469735504, 80.82999859768388, 80.22268615391391, 80.07657295523018, 87.79533556131484, 80.1832665881363])"
