,Replication,"(0.0, -0.0, 0.0, 0.0, 0.0)"
0,0,"([58, 3, 81, 81, 56, 56, 68, 13, 26, 84], [71.28899772251332, 61.02110292200176, 73.91610423095983, 78.21091729978211, 68.7022970270826, 60.50919426428699, 68.77754531689446, 70.85686981603837, 48.26594579105547, 75.57833108037133])"
1,1,"([48, 92, 73, 63, 92, 84, 95, 57, 89, 18], [84.41856184096824, 84.01576273337439, 84.16599820455642, 80.41747043995439, 83.9682837642555, 84.63814657319864, 83.30888304655781, 83.13808361227532, 84.46225904960382, 82.66804872104835])"
2,2,"([16, 74, 57, 95, 4, 61, 84, 30, 36, 56], [47.08970479358593, 56.77858531234646, 47.6998650755702, 63.825928988141456, 53.73021601185842, 64.44707978799278, 71.27046313647215, 59.05812179915823, 50.496832539506144, 45.87943520594454])"
3,3,"([65, 88, 18, 83, 18, 6, 40, 14, 57, 1], [33.251132045128344, 50.83654291454884, 24.72265681817745, 36.501439226810525, 23.368718968979866, 29.13026218480969, 23.800673041746933, 26.29029070923352, 24.843495296081496, 16.586035129175624])"
4,4,"([33, 71, 40, 88, 90, 80, 87, 86, 66, 3], [84.63570905480233, 85.57286017375205, 74.69623780999345, 85.25133422638295, 86.11589171907939, 86.03618282064484, 84.98230072903556, 85.66619461397006, 85.59431441432214, 85.12301542569905])"
5,5,"([5, 71, 39, 63, 29, 14, 37, 26, 13, 53], [22.22077574742248, 21.11244780734584, 27.88434790274733, 27.32043256347511, 23.212480018691224, 22.02383173913959, 22.564047936838797, 21.60946332690063, 19.33233711239864, 23.409991936860628])"
6,6,"([27, 58, 11, 90, 91, 2, 60, 70, 64, 19], [54.88890104900282, 53.50570770869119, 32.2621975440828, 76.7163226061402, 49.20407030816823, 53.593829324996186, 59.150343969328546, 45.17367028505564, 56.23037035698583, 30.954519125313375])"
7,7,"([47, 47, 52, 93, 16, 71, 6, 54, 49, 87], [62.39776533324154, 47.60273485702689, 31.0245745688713, 71.35643895107341, 48.61662166072258, 72.49352747654942, 24.06610476613691, 48.96282641708141, 64.19880473137184, 73.4408756130606])"
8,8,"([48, 6, 11, 57, 39, 79, 59, 15, 40, 52], [27.340815035742505, 27.360348536922896, 23.946920913249215, 28.82131423528797, 26.459656069815175, 35.212815773109625, 34.57137947976027, 26.625930435064117, 26.160254656491013, 26.605099860913562])"
