,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, 0.0, 0.0, 0.0)"
0,0,"([79, 17, 71, 68, 48, 13, 96, 49, 76, 42, 10, 87, 61, 53, 24, 84, 17, 46, 9, 57, 15, 57, 7, 10, 40, 64, 60, 15, 93, 58, 22, 37, 15, 22, 77, 93, 86, 73, 22, 32, 16, 57, 94, 13, 98, 97, 84, 37, 22, 10], [78.84633052595235, 81.44597673652599, 79.39293015109307, 85.34538484721423, 78.0907555096422, 80.95771800457014, 94.82259363630234, 79.83874733128242, 71.74436866810531, 82.92219563635692, 10, 81.52619677117428, 78.10276327328485, 65.46369853227723, 88.28203885526175, 82.73810110022029, 71.2814987806607, 78.92724480707005, 89.97319261746969, 80.50963387222019, 84.1585539999305, 61.24227792932021, 10.690351332388067, 25.31736768745003, 68.20769494216893, 78.08602399923946, 90.24692806726428, 89.0317178667626, 89.99792824684718, 87.31062841462905, 84.95179875248215, 84.74064416519161, 90.63142946042979, 83.50904297457804, 86.3719978701215, 93.43843973058044, 79.86654913818658, 79.13815740482687, 77.70951426764039, 76.19839104055369, 82.36530250238778, 28.660004870528745, 92.82184446663128, 79.02633148438021, 96.38278122159474, 96.49205973261338, 81.50343257370552, 82.70485357589185, 80.13929757621325, 22.564932274472568])"
1,1,"([41, 93, 63, 21, 86, 25, 92, 15, 32, 39, 23, 57, 52, 25, 73, 48, 5, 19, 38, 87, 82, 10, 94, 35, 43, 82, 80, 20, 62, 45, 51, 55, 70, 62, 25, 37, 57, 14, 50, 15, 73, 96, 68, 59, 43, 64, 97, 45, 28, 12], [80.60415536313987, 91.12637874556246, 79.45513992459408, 83.56236504159003, 86.9250280221419, 83.17172182641981, 90.5432977675834, 86.14272256452476, 79.91671266948848, 82.73804502013348, 78.2606224854085, 78.74287503832824, 82.72644210948147, 81.28728799425467, 78.48268418477338, 82.00902112280339, 77.01341111974567, 85.79353201237586, 83.39171805564769, 84.48763202700358, 82.40289611458748, 85.53986821635141, 91.42436099320219, 84.72092645905828, 84.22125182376614, 81.06220491235199, 82.41995416350952, 81.39752446755635, 81.61604781699947, 73.61198653401725, 85.29451559046939, 85.02482157552829, 89.54275282187638, 76.78113531435844, 68.9153998890701, 80.17775991125848, 86.01879276320624, 72.24063556913693, 80.46311138726793, 73.90964035188165, 79.20969925622173, 94.30366416455367, 89.00775448058224, 78.40570968410461, 79.64930549025281, 81.28317135861387, 96.25635094127841, 80.00436281352559, 77.13952717180275, 87.70007005128151])"
2,2,"([14, 7, 93, 99, 36, 21, 44, 51, 58, 13, 69, 94, 84, 38, 88, 55, 15, 83, 11, 55, 67, 39, 66, 30, 6, 26, 94, 91, 93, 86, 13, 94, 84, 44, 90, 60, 65, 98, 4, 60, 24, 37, 23, 1, 81, 57, 3, 14, 53, 40], [82.85446199116734, 31.689122676746095, 89.69215580098316, 98.10636231522821, 84.21641113651236, 82.84175157564339, 76.15977807800944, 81.13803955342911, 83.50308480168212, 77.18671111182165, 77.7512944310738, 90.41912774099231, 81.78627773656267, 84.94815694821864, 87.66775614991785, 72.4812287122485, 81.57576797182168, 83.66726552540061, 79.67788790198392, 78.96074389047837, 78.29573105497396, 82.20064803093355, 78.45643950412507, 83.76796157748441, 6, 83.75584919129837, 92.77012266510964, 89.47111941494646, 86.37692019541437, 81.50057064152517, 91.45701855115263, 93.84480383774552, 83.1633505521087, 84.43257861165692, 89.14222945039565, 75.80126948335484, 87.2489154295308, 95.85685989535929, 23.441301438724512, 79.45087646822114, 91.59576079584876, 85.52369420677618, 84.14552824453678, 73.96909612293699, 92.23442642980118, 80.53643250990358, 85.62697592412772, 80.86326552661767, 84.9070812247434, 83.3035946448413])"
3,3,"([48, 27, 51, 28, 28, 54, 18, 2, 79, 100, 72, 65, 65, 80, 100, 22, 6, 92, 22, 92, 15, 64, 24, 13, 31, 46, 43, 39, 65, 70, 54, 77, 16, 8, 100, 7, 92, 45, 34, 62, 50, 66, 14, 76, 38, 16, 79, 97, 25, 61], [78.3556071373499, 75.0877292961224, 72.98921160370644, 81.65906376212914, 75.11147078070614, 75.82956929213758, 80.84420039288833, 4.024723422395297, 76.15076819914033, 99.14641147090707, 59.118532825305195, 78.25667880233348, 76.88078724843629, 89.18696524959256, 99.28170223780225, 67.40696361021918, 8.358378632847405, 89.59077162912136, 89.97547187428832, 91.600364378268, 78.06817159360281, 76.65938005242883, 84.30001985200448, 75.8321381210599, 60.99644345375393, 70.57942880662438, 73.81983835016692, 89.28690852194117, 77.9913785170411, 83.92973873272167, 73.95570714308018, 83.57597912273557, 80.85097367640633, 17.46709664310696, 98.66957962076859, 21.62043150239332, 91.6033787814415, 69.4762610976236, 80.25222090176183, 84.06509802514661, 73.61998439368278, 77.44223916388675, 39.34487173812987, 82.61194982117664, 72.1929525361384, 73.49331142244469, 78.97213624217629, 96.10908192776186, 83.11725656994292, 55.25765834625419])"
4,4,"([25, 60, 97, 7, 41, 57, 84, 91, 65, 76, 89, 83, 84, 35, 70, 97, 73, 46, 5, 56, 61, 64, 59, 16, 28, 17, 31, 37, 77, 66, 59, 70, 45, 38, 36, 79, 73, 63, 8, 22, 29, 80, 10, 35, 11, 71, 46, 70, 10, 34], [84.78598206652643, 84.19187810666456, 93.98677829811616, 81.06967505894427, 84.93775022444116, 84.77093947417174, 84.43057834498589, 89.69834394878266, 82.06207948686205, 82.27469184309761, 84.43087552836153, 87.02679751071209, 84.59990645958406, 81.12782305247086, 83.44281621536096, 93.6440512098717, 85.3906741439266, 85.78868979446764, 84.03068142761586, 82.48186736074182, 80.58513271533782, 78.66551074183812, 82.81339870383489, 74.20703668040683, 80.91157849193594, 87.89895775083316, 84.26636841402932, 81.04193256019957, 82.0676008378414, 83.62469491075659, 88.8307487240365, 86.02330173289614, 82.76541047552087, 80.66054258187174, 75.92126579996459, 84.41175235542445, 78.08066259857266, 82.44060716911493, 83.79817538030055, 86.5089776280443, 89.12719520322786, 82.25848203625252, 89.06110299785989, 82.1922559476518, 87.65043237046143, 78.16687549453096, 78.29779818360448, 81.47706147887968, 81.37051040843338, 82.23364190213263])"
5,5,"([42, 19, 81, 44, 88, 81, 63, 39, 46, 28, 5, 49, 4, 61, 19, 1, 63, 60, 69, 97, 87, 74, 21, 79, 95, 44, 2, 48, 77, 93, 11, 67, 7, 55, 91, 32, 40, 79, 90, 12, 19, 91, 76, 91, 98, 77, 92, 19, 44, 85], [79.10698162162514, 76.69190987054233, 84.48370227142563, 84.1595695922114, 82.8203074291248, 82.89972501759594, 83.91982732106085, 84.60888119743534, 84.58585572653304, 81.20079891587714, 79.11179068944388, 80.94093674822858, 4, 78.4223990854443, 84.5907482076539, 1.9295430907561328, 78.92181455409579, 81.31044667237029, 78.89031791307464, 95.11270723966531, 88.35986808782513, 80.65915379142983, 82.63106484748053, 80.27275247362627, 89.90973682031948, 72.40096687769837, 3.4793988625647083, 83.1882450676201, 83.03162221187556, 87.71966397299, 84.60515923559811, 81.15804774038163, 59.59133655038174, 87.68871205488918, 88.62623837346982, 79.015535451566, 81.49451763448464, 84.3051852335646, 86.55989850274102, 75.15799332016016, 80.84925109487037, 86.12556781897881, 73.51776231243248, 86.08211602605421, 94.45102767541123, 84.8902051690389, 86.61267698456982, 82.12525625162922, 82.29607611938393, 84.6396547573434])"
6,6,"([66, 79, 35, 25, 90, 30, 6, 16, 22, 51, 0, 54, 21, 44, 46, 7, 18, 37, 60, 16, 6, 71, 96, 72, 3, 11, 14, 86, 64, 96, 31, 21, 38, 95, 17, 75, 36, 83, 82, 9, 17, 57, 3, 57, 99, 39, 86, 58, 86, 78], [78.5023977043264, 27.047496466197714, 59.00130828856851, 74.7158500916302, 48.92953163818627, 68.06900818890347, 7.965254365697716, 43.16118541953348, 55.92595812686499, 61.645134686796794, 0.4118983446954094, 31.837691720985614, 24.0496069281942, 28.869885740536994, 26.693182737179747, 9.639578146182776, 36.05511370906546, 63.33194450000267, 74.29390399846424, 18.1604528590033, 6.432708302353407, 54.45118656772632, 91.65936186291589, 30.51018008605703, 5.294960878869078, 16.869865078875556, 15.916160008105305, 84.45820239826205, 28.049496214749762, 94.91811893549276, 16.352589840965674, 65.95899745294606, 17.410872010985678, 65.31765350101757, 31.591675056335124, 26.45338684165187, 83.85426146886888, 79.93275741918595, 80.61456857554545, 10.11235298925764, 60.39266558581842, 19.145195998327598, 5.279605852618531, 27.946962527959254, 96.87252717417299, 17.477365388435476, 18.254147871698123, 75.93038104613136, 69.313140555993, 30.53175640960754])"
7,7,"([37, 8, 28, 4, 20, 56, 59, 95, 86, 76, 67, 11, 0, 26, 66, 61, 73, 84, 6, 0, 19, 52, 33, 71, 27, 2, 25, 14, 31, 34, 77, 49, 75, 11, 66, 53, 31, 23, 97, 94, 34, 86, 15, 85, 9, 12, 46, 38, 99, 39], [69.91583270868047, 51.611869163342064, 59.7053984472014, 4, 65.17539624878677, 64.54316431431141, 49.58125263043492, 93.35101757070014, 56.66220215499037, 69.48557865852409, 68.46409977914143, 15.591102252013348, 0.37874361033669013, 75.7776413088786, 84.68565804574526, 75.33403436952109, 62.73879744150092, 32.43336305675502, 8.768845482538085, 0.4100320835013528, 26.090336885795026, 74.45370139808047, 51.53204129865367, 62.43197172377372, 76.89554741451306, 3.934846973135384, 66.87595169367252, 32.53820017590347, 66.8879502933343, 75.69843711161812, 72.53695710933012, 65.96087608077436, 76.3555983676071, 26.32213628651404, 67.1437181341246, 61.53981878436095, 32.45409603765098, 31.89831877468279, 95.41679326182403, 92.09597763597219, 24.724941106916926, 76.96973760922762, 31.97641658174365, 85.60803012299547, 9, 15.953511609143296, 32.82613184482925, 62.29357252920602, 98.1922931333798, 30.73150629680688])"
8,8,"([24, 95, 78, 37, 71, 11, 32, 61, 1, 41, 12, 77, 26, 57, 5, 98, 11, 20, 0, 37, 76, 47, 32, 80, 35, 54, 34, 50, 93, 42, 80, 60, 61, 1, 75, 81, 62, 13, 71, 11, 18, 97, 72, 14, 97, 0, 64, 39, 81, 41], [85.02200969670217, 93.65001895726319, 82.81146073827641, 80.90989176942524, 86.5387049338001, 83.94489232862482, 86.61431904703942, 83.90269418448453, 4.732104561653849, 85.78764163255245, 74.27254384046793, 87.40162394972624, 83.77641296061151, 90.55750451621192, 88.54995102439175, 96.11960551190242, 88.66167075949399, 72.95320109113439, 86.0892910800231, 87.46556585985897, 86.70377905308975, 82.21049594551103, 82.55236572518298, 84.89185392499772, 87.77404641358159, 85.82794800392473, 90.73352659556691, 82.16619653151201, 90.1956877002049, 85.50079154915294, 86.97173048016158, 80.53743303081524, 81.21515619987694, 5.513070980658391, 90.92751361372513, 83.2880472425727, 82.02691519429762, 74.01399432439564, 81.55790764055324, 86.35817254360164, 83.13526174944137, 95.39572659266537, 80.15060744814507, 88.16215577453615, 96.08458036845751, 0.8627635859444203, 85.35333263303255, 65.78760110303575, 89.23020804286791, 80.37773994591795])"
