,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, 0.0, 0.0, 0.0)"
0,0,"([56, 59, 83, 17, 36, 70, 5, 50, 88, 18, 98, 47, 40, 6, 17, 64, 42, 72, 96, 84, 14, 72, 60, 51, 33, 66, 57, 91, 20, 68, 65, 91, 25, 68, 1, 85, 34, 75, 38, 99, 5, 58, 45, 91, 50, 53, 99, 43, 32, 35], [73.64957889875348, 72.47645120365237, 73.5496064681545, 74.52091632006153, 75.19196140214099, 73.99558383812767, 74.37758991776262, 72.8945584988266, 74.52364092143594, 72.43385574245593, 77.47009237385684, 74.7297730090836, 66.54528375334061, 73.16793553189096, 63.150614751628126, 72.942244390454, 71.43012565497618, 74.3905623480545, 75.13073987807053, 75.010870265896, 69.96750555146878, 74.23533288991283, 71.71121731175529, 74.89090114990671, 72.67908189357529, 72.199861630178, 72.11855339724622, 78.33361251598623, 72.61535789609283, 74.7816323764548, 69.60449165700881, 74.20419020750292, 70.2430554794361, 74.07413514578924, 73.04963003953948, 73.0848367200175, 77.28025434814874, 70.65840816453108, 72.4712946221242, 80.59143799647448, 67.68759897880408, 67.41421834709872, 69.68253350783523, 72.41694401455027, 73.27134546128477, 67.91805887754178, 74.20518280229922, 65.93772441262233, 60.01911552335766, 65.78326058173431])"
1,1,"([34, 71, 35, 58, 69, 94, 37, 38, 72, 89, 56, 5, 56, 34, 32, 92, 88, 12, 50, 5, 1, 3, 62, 33, 6, 37, 36, 21, 57, 15, 93, 65, 72, 61, 57, 89, 91, 64, 49, 69, 35, 52, 91, 11, 60, 30, 60, 93, 22, 5], [66.12735982788877, 63.7826851988043, 42.704578337380696, 73.91633035768294, 72.58200713667702, 74.08373770138262, 66.1154326422922, 72.03708737932621, 72.89925051972655, 49.84437148720156, 72.03577926203869, 61.467619475250714, 61.067328020588164, 50.55966200032372, 54.17140549383951, 80.29411079800111, 73.09325836178321, 31.127660710486932, 58.23894558421176, 28.63167805984603, 1, 31.702285248491183, 67.55764811961802, 71.99777456535433, 55.74753247186662, 72.31408851960835, 67.72434141054198, 73.99371170077347, 76.05108751407005, 66.34922479894206, 76.36891092026303, 63.98432534319326, 66.07305718457006, 49.43778074265849, 45.2272588147391, 71.81536927269114, 79.41874583238841, 71.99917200237098, 71.36802332043453, 54.56976080850974, 68.06318724624896, 72.64909858390791, 76.86688378891375, 33.8810111312713, 70.45355402795164, 75.56712506793171, 67.93999453855345, 76.7499215724316, 27.07200156100849, 61.51754939206123])"
2,2,"([90, 85, 59, 24, 72, 29, 43, 53, 85, 10, 60, 45, 34, 47, 23, 43, 33, 92, 57, 82, 16, 85, 69, 56, 25, 60, 72, 15, 2, 53, 23, 73, 60, 53, 50, 26, 63, 44, 50, 15, 74, 29, 30, 52, 38, 87, 83, 14, 35, 59], [56.78488907169438, 53.34818587483399, 59.42093008331617, 52.769022408323316, 53.69179741564905, 52.26285003292199, 49.95692081384323, 29.89424392296129, 52.86383139759033, 27.10559464745863, 68.41193218715574, 63.57068282832778, 46.446572331505365, 31.719316310978524, 55.9138952456578, 39.5248964284576, 61.85456725291025, 72.2824765736557, 56.24581994642311, 76.96036851430311, 40.52321634635213, 72.4511932614797, 68.21949923999045, 54.94358756620373, 35.64920484201922, 50.07048810721915, 70.48749885906082, 24.657767121968853, 26.538100721346424, 58.15718589274439, 46.70240131430735, 63.07943297663891, 57.35632762651192, 60.30304742000952, 45.97537032000495, 29.31495716206701, 71.67439015196024, 69.14280269854464, 55.13658870225872, 36.59554571619127, 70.44282226083467, 37.008269031069034, 37.21997740000914, 71.24546213893726, 39.107886542767716, 77.08999405462085, 66.3959396235509, 19.715306395420036, 55.30013302229165, 62.935778665415455])"
3,3,"([15, 34, 27, 64, 32, 57, 45, 91, 40, 1, 81, 42, 18, 72, 22, 39, 20, 28, 64, 15, 40, 15, 30, 84, 12, 95, 3, 51, 15, 2, 10, 9, 32, 19, 86, 60, 89, 30, 25, 35, 2, 26, 7, 80, 35, 2, 21, 20, 9, 10], [28.208913899593075, 25.603294726756385, 32.68976733609685, 28.545106625714276, 28.134098383412404, 27.55123027034375, 30.675018769938433, 30.498904932452362, 32.13518994933395, 25.6911936038394, 33.92801682905919, 27.450068157002754, 31.450820100987574, 48.60916365633024, 48.09029493131999, 26.430098359536363, 22.672456276357853, 32.71996414425159, 61.15067879761778, 25.943561046332427, 32.09080042902233, 26.06276844439142, 24.782826499471867, 69.1428982952264, 26.033232218639387, 67.56496220178508, 28.10609882773038, 43.772883591121705, 21.977864867140077, 19.942708965643817, 24.55623057960736, 28.707093184311322, 26.30064145861724, 23.538566512504495, 28.707515149032083, 40.93561722943673, 23.137904050598827, 30.65770991372359, 27.39473441761557, 24.727537173499606, 16.66757311389995, 26.25139455731023, 23.369364835351075, 46.967364838837206, 32.29237715035665, 24.256109235238906, 29.3739884339662, 28.239355919899726, 21.660478678055856, 18.728559814977473])"
4,4,"([0, 7, 6, 53, 43, 1, 34, 60, 31, 73, 26, 61, 77, 7, 19, 56, 100, 21, 64, 72, 14, 67, 2, 16, 80, 53, 13, 63, 61, 59, 12, 68, 4, 62, 34, 59, 98, 44, 94, 87, 10, 28, 47, 73, 79, 66, 96, 26, 7, 21], [22.806887948725514, 7, 22.109238486733357, 24.336487507703744, 22.412990649770414, 26.343118633285908, 25.80433081009961, 23.298123487328812, 26.12720542885183, 31.32096549868641, 25.32061279826042, 34.72077598415399, 25.015356513987825, 27.34052800015201, 22.35969384352796, 32.691390568002156, 27.00750794857098, 21.54888782492508, 29.695868694759, 27.636640715005715, 22.727073258835084, 34.176929662329236, 26.936018191102267, 26.095142819319683, 26.285788474473172, 32.12696664894303, 43.270450033315065, 58.45783950654838, 35.79945950177329, 27.694129356565476, 20.747896070034738, 43.15909402251, 19.978914947322483, 33.96477043697141, 29.886550447452624, 22.705638669914638, 37.83423882261311, 21.165453501046, 29.690991095026966, 22.03210658518619, 24.68887277261812, 33.44977952970478, 36.09584653433859, 41.45526243909565, 23.239125181450966, 39.070324440501984, 65.22619541915704, 21.34446305538361, 17.951111616457446, 28.129716101293024])"
5,5,"([99, 2, 86, 70, 90, 44, 98, 74, 58, 44, 48, 78, 93, 68, 66, 93, 27, 75, 49, 40, 68, 2, 72, 23, 43, 69, 17, 25, 29, 8, 56, 58, 64, 77, 90, 51, 23, 8, 7, 18, 91, 23, 10, 82, 35, 6, 0, 47, 21, 17], [64.21892611228802, 60.99535576381027, 68.64945317402236, 71.37989883593293, 67.3355338721751, 42.45617646718216, 68.94795497145032, 62.365995449192546, 59.27041825372012, 69.8961557952499, 73.08636673106729, 67.9284119776266, 71.96171671658006, 68.42024498520529, 68.91859076770561, 72.73388958686445, 62.91825748395994, 51.23855323116614, 56.42380491671675, 63.866233830253556, 46.76650616545931, 30.042008369377992, 70.29464891379428, 64.49578598657087, 55.682772992536016, 38.74274972297453, 67.7930207318192, 56.7509089484928, 63.9551946255734, 16.747734993178874, 65.57431068900898, 61.539418214528496, 67.53652860082003, 69.11252678791236, 75.60303871512188, 55.88154905194381, 72.21784433731396, 45.50903091148601, 63.14744948329776, 53.64749068095868, 79.41521299429293, 54.594021555600506, 60.3055882199465, 69.78382576561367, 57.282669580883194, 6, 14.389406621442998, 69.62074665269418, 31.087883382398548, 37.71067558298271])"
6,6,"([32, 88, 70, 79, 67, 81, 99, 96, 32, 57, 60, 24, 34, 65, 14, 0, 67, 10, 73, 67, 29, 85, 90, 17, 57, 52, 98, 9, 88, 95, 96, 64, 97, 31, 43, 28, 6, 47, 98, 94, 64, 89, 85, 1, 70, 26, 3, 65, 57, 99], [80.66845247900783, 81.26646027990473, 80.85644658982277, 79.94514119678574, 80.73044321327733, 81.31540218905654, 82.0630620934382, 81.05771115765384, 80.32998333494685, 80.54441519127597, 80.40608642794834, 80.14018443243619, 81.31223199775246, 82.46754163346486, 80.40637916390651, 75.68332680195022, 82.12166914210749, 77.35826210769314, 80.58308445696505, 80.58072648627228, 79.62789234391231, 81.5194232077004, 79.47924909870848, 80.39609839069615, 80.77715478736415, 80.7184948066855, 82.62835071791167, 79.57966810212606, 80.2538634086283, 80.94849959870113, 80.59508393487666, 81.72308166401194, 83.29001016322303, 81.94985561763495, 78.09997448147995, 79.73878589370854, 78.95761135766398, 71.2108074740182, 82.90030592210353, 80.19679624128409, 80.71534011439145, 82.53186551710432, 81.86285713115035, 79.94913693596769, 75.9118545103857, 79.84706692895527, 76.41180036812791, 77.6293664570728, 77.76829033301881, 83.20262136605324])"
7,7,"([34, 46, 96, 8, 68, 42, 19, 4, 47, 34, 63, 17, 46, 60, 75, 47, 66, 3, 69, 59, 29, 23, 23, 97, 84, 10, 33, 95, 10, 40, 70, 72, 21, 20, 15, 51, 21, 19, 100, 0, 23, 80, 34, 54, 66, 28, 1, 71, 59, 1], [52.76966538731713, 37.14916615643318, 71.38004394247277, 16.737453271984947, 40.844375807293275, 55.49635032881317, 38.87638345070261, 34.81203192987778, 49.87318901652146, 34.99703505554025, 30.780100199596482, 68.65374625690312, 30.328828698647758, 74.30887511583244, 57.59570724563315, 38.451089861145874, 53.600418643372414, 66.29482637699321, 37.931973266866656, 55.469992236811166, 56.78614267353088, 72.72272800075238, 29.063390194603933, 76.1030918436637, 67.23007026166898, 19.474279042815038, 61.13939977223916, 66.81048471709717, 27.618979471936903, 65.59362749650157, 54.60912335200087, 57.677723678598376, 51.94376281010664, 29.40561792204355, 31.63693229069576, 56.54692427498416, 52.66371091229332, 45.72804397209751, 77.34218388704424, 18.989735390361133, 42.27408753938579, 80.72052361664781, 37.445479252577144, 59.081321145759496, 48.884721328309844, 69.3485705457239, 76.01316204307754, 63.41857659722325, 64.95202861206864, 43.29572820749136])"
8,8,"([51, 20, 63, 91, 53, 33, 97, 14, 29, 51, 3, 97, 41, 16, 18, 83, 39, 56, 34, 38, 97, 41, 41, 36, 64, 27, 48, 44, 24, 93, 14, 95, 95, 98, 96, 48, 15, 52, 28, 33, 64, 26, 7, 81, 84, 84, 100, 34, 4, 76], [76.7247066034622, 79.07233737367237, 77.07835951451186, 77.30734617003864, 78.33944817675444, 77.77594475382705, 79.45833881502224, 75.30471815199424, 76.51742355000047, 74.78951900775867, 76.40828648251814, 76.23532274744959, 72.7106284252333, 74.96635312462551, 74.27220555487055, 78.85076533119873, 78.31741766449947, 79.63242007697887, 75.36910839624363, 72.99068616496749, 76.54507126162513, 78.13525811370413, 77.30960848338069, 75.42314176649421, 70.5083402601465, 58.29338676070196, 76.90915251375839, 71.8755107148134, 71.07914289349313, 78.34954805416321, 66.84924328869818, 76.41406381238204, 76.6539828168, 80.71812289212416, 79.88179697648434, 71.63886179346562, 70.13915553322926, 71.67648136764177, 75.5351094095823, 75.18545914682184, 73.63368021996453, 67.83513721979735, 64.85217277930177, 75.63229404656548, 81.2873552619229, 76.83716803566266, 77.20263697315389, 62.86022230805177, 74.8555667532268, 78.48527886462887])"
