,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
0,0,-3.5527607776208914,-3.1277513835279507,-2.426677187284131,-3.6993537324724315,-3.3642170496384516,-3.885723110823969,-2.7873583077792414,-3.6227094821865027
1,1,-3.135295892448015,-3.757062800809182,-3.6667920706953847,-3.0271009600542396,-3.713135341528357,-4.041073005835933,-2.7848775446986505,-4.157041272249158
2,2,-3.5684894562714025,-4.043257109623937,-3.907695584958038,-3.0458516189522165,-2.456368954177732,-4.1275519079525065,-3.662514080412013,-3.723167300893195
3,3,-3.5990097851252845,-3.4465075664481564,-3.6123449809010264,-4.0225035516853165,-3.328000626163938,-3.1492085460532095,-3.0313966137231905,-3.3643367263247335
4,4,-2.569094471129757,-3.528993603795591,-3.2244323258247203,-3.5714725070721194,-2.9819282206235105,-3.8209074668539227,-3.004142694450282,-3.2513338738884983
5,5,-3.4436815957762015,-4.196105265997746,-3.3246028771423664,-4.265461356771377,-3.3554955055971245,-3.1131536571859044,-3.4415438605377666,-4.272694991913609
6,6,-2.5822429464697283,-3.7769410387113673,-2.2646290899289294,-4.268513852155117,-2.8373572320264397,-3.256196994494088,-2.802767166263516,-3.569381173195218
7,7,-3.361079495046228,-3.8646754577379188,-3.033810466512879,-4.834394596743218,-2.9036624671193874,-2.64411280545794,-4.062740899494015,-3.857805578453503
8,8,-2.900045731501553,-3.6255490553494916,-3.1013730100635684,-2.716282128452699,-3.6656533792606893,-3.3509218610737896,-3.2470354130474135,-2.6579633318475313
9,9,-4.36008122275763,-4.217567801757696,-1.4171423729637436,-3.2489518226323053,-3.2756878599927575,-3.7498881809156988,-3.6481585626732933,-3.331834482591489
10,10,-4.589622814221123,-3.8933606398620633,-3.776104951431984,-3.02226402938242,-2.9647886384429167,-3.3248098494126364,-3.100767194990498,-2.542978867416487
11,11,-3.671088324169764,-2.692715626175831,-3.9164320463510425,-2.756273953027195,-2.8776395418863068,-3.171182053638786,-2.531647978740697,-3.2601231612862556
12,12,-3.5935936231451393,-4.670833855203982,-3.379489789774375,-4.32260954500425,-3.8996101079916237,-2.4720321198025097,-3.4366493536811173,-2.651604905763268
13,13,-3.570480422749256,-3.8193382343557687,-3.4645902421842045,-4.149785770899346,-2.3150542020716607,-4.4034514165711425,-3.0249371892376615,-3.0383447739982756
14,14,-3.40214978742128,-5.148850580378513,-2.8963106838837813,-3.922386696765802,-3.4488076632946054,-4.05883608337262,-3.4608088429525203,-2.9830953542230354
15,15,-2.6989156965235015,-3.6059073668135717,-3.477205389385748,-4.218134925683035,-3.5000010462159494,-3.4650966848436138,-2.869713261241012,-2.4099216864654043
16,16,-3.8544774853811905,-4.579294942452583,-2.291369744588952,-3.779410611296944,-3.7481466436149127,-3.792134421767827,-3.295111285092366,-2.6402583995396416
17,17,-3.102072546531504,-2.858846017117841,-2.1743172207208783,-4.000652748582526,-3.5043968537972816,-3.326526294805353,-3.20504651404881,-3.6468117469011627
18,18,-3.270827202951743,-3.552354080608719,-2.8687476773768346,-3.1683356296200866,-3.966535112037569,-3.1409478085527986,-3.556641688521676,-3.3140431517995577
19,19,-3.380251350651166,-4.13816432401031,-3.8214675526260695,-4.473716446471299,-3.888323556001687,-3.3479807343736336,-2.96464833098565,-1.3380141943710235
