,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
37,37,"(0.243, 0.243)","(0.24, 0.24)","(0.255, 0.255)","(0.251, 0.251)","(0.25, 0.25)","(0.238, 0.238)","(0.258, 0.258)","(0.239, 0.239)"
38,38,"(0.249, 0.249)","(0.258, 0.258)","(0.256, 0.256)","(0.257, 0.257)","(0.242, 0.242)","(0.236, 0.236)","(0.245, 0.245)","(0.257, 0.257)"
39,39,"(0.246, 0.246)","(0.25, 0.25)","(0.231, 0.231)","(0.232, 0.232)","(0.246, 0.246)","(0.231, 0.231)","(0.224, 0.224)","(0.236, 0.236)"
40,40,"(0.239, 0.239)","(0.241, 0.241)","(0.263, 0.263)","(0.251, 0.251)","(0.246, 0.246)","(0.254, 0.254)","(0.252, 0.252)","(0.254, 0.254)"
41,41,"(0.237, 0.237)","(0.251, 0.251)","(0.252, 0.252)","(0.228, 0.228)","(0.243, 0.243)","(0.239, 0.239)","(0.251, 0.251)","(0.23, 0.23)"
42,42,"(0.267, 0.267)","(0.235, 0.235)","(0.25, 0.25)","(0.226, 0.226)","(0.246, 0.246)","(0.239, 0.239)","(0.234, 0.234)","(0.237, 0.237)"
43,43,"(0.261, 0.261)","(0.245, 0.245)","(0.221, 0.221)","(0.232, 0.232)","(0.257, 0.257)","(0.245, 0.245)","(0.261, 0.261)","(0.252, 0.252)"
44,44,"(0.24, 0.24)","(0.214, 0.214)","(0.214, 0.214)","(0.254, 0.254)","(0.253, 0.253)","(0.261, 0.261)","(0.244, 0.244)","(0.248, 0.248)"
45,45,"(0.256, 0.256)","(0.219, 0.219)","(0.251, 0.251)","(0.248, 0.248)","(0.256, 0.256)","(0.257, 0.257)","(0.274, 0.274)","(0.253, 0.253)"
46,46,"(0.225, 0.225)","(0.232, 0.232)","(0.238, 0.238)","(0.242, 0.242)","(0.238, 0.238)","(0.253, 0.253)","(0.266, 0.266)","(0.26, 0.26)"
47,47,"(0.25, 0.25)","(0.239, 0.239)","(0.248, 0.248)","(0.233, 0.233)","(0.272, 0.272)","(0.238, 0.238)","(0.23, 0.23)","(0.277, 0.277)"
48,48,"(0.265, 0.265)","(0.249, 0.249)","(0.249, 0.249)","(0.24, 0.24)","(0.243, 0.243)","(0.239, 0.239)","(0.24, 0.24)","(0.234, 0.234)"
49,49,"(0.211, 0.211)","(0.279, 0.279)","(0.242, 0.242)","(0.216, 0.216)","(0.258, 0.258)","(0.262, 0.262)","(0.242, 0.242)","(0.265, 0.265)"
