,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
0,0,"(0.235, 0.235)","(0.227, 0.227)","(0.256, 0.256)","(0.217, 0.217)","(0.264, 0.264)","(0.244, 0.244)","(0.233, 0.233)","(0.249, 0.249)"
1,1,"(0.237, 0.237)","(0.233, 0.233)","(0.228, 0.228)","(0.222, 0.222)","(0.241, 0.241)","(0.243, 0.243)","(0.244, 0.244)","(0.235, 0.235)"
2,2,"(0.261, 0.261)","(0.265, 0.265)","(0.241, 0.241)","(0.26, 0.26)","(0.227, 0.227)","(0.236, 0.236)","(0.213, 0.213)","(0.235, 0.235)"
3,3,"(0.273, 0.273)","(0.253, 0.253)","(0.236, 0.236)","(0.218, 0.218)","(0.222, 0.222)","(0.248, 0.248)","(0.251, 0.251)","(0.244, 0.244)"
4,4,"(0.232, 0.232)","(0.244, 0.244)","(0.262, 0.262)","(0.242, 0.242)","(0.246, 0.246)","(0.243, 0.243)","(0.271, 0.271)","(0.215, 0.215)"
5,5,"(0.25, 0.25)","(0.229, 0.229)","(0.257, 0.257)","(0.228, 0.228)","(0.228, 0.228)","(0.259, 0.259)","(0.25, 0.25)","(0.231, 0.231)"
6,6,"(0.235, 0.235)","(0.231, 0.231)","(0.239, 0.239)","(0.246, 0.246)","(0.248, 0.248)","(0.245, 0.245)","(0.243, 0.243)","(0.25, 0.25)"
7,7,"(0.24, 0.24)","(0.258, 0.258)","(0.233, 0.233)","(0.247, 0.247)","(0.235, 0.235)","(0.252, 0.252)","(0.209, 0.209)","(0.239, 0.239)"
8,8,"(0.239, 0.239)","(0.241, 0.241)","(0.242, 0.242)","(0.241, 0.241)","(0.243, 0.243)","(0.247, 0.247)","(0.253, 0.253)","(0.244, 0.244)"
9,9,"(0.256, 0.256)","(0.243, 0.243)","(0.25, 0.25)","(0.238, 0.238)","(0.245, 0.245)","(0.257, 0.257)","(0.26, 0.26)","(0.228, 0.228)"
10,10,"(0.272, 0.272)","(0.268, 0.268)","(0.26, 0.26)","(0.246, 0.246)","(0.243, 0.243)","(0.253, 0.253)","(0.237, 0.237)","(0.247, 0.247)"
11,11,"(0.249, 0.249)","(0.246, 0.246)","(0.228, 0.228)","(0.231, 0.231)","(0.247, 0.247)","(0.24, 0.24)","(0.237, 0.237)","(0.243, 0.243)"
12,12,"(0.238, 0.238)","(0.244, 0.244)","(0.251, 0.251)","(0.272, 0.272)","(0.226, 0.226)","(0.248, 0.248)","(0.241, 0.241)","(0.231, 0.231)"
13,13,"(0.226, 0.226)","(0.259, 0.259)","(0.266, 0.266)","(0.259, 0.259)","(0.239, 0.239)","(0.228, 0.228)","(0.223, 0.223)","(0.23, 0.23)"
14,14,"(0.239, 0.239)","(0.253, 0.253)","(0.25, 0.25)","(0.28, 0.28)","(0.273, 0.273)","(0.222, 0.222)","(0.25, 0.25)","(0.24, 0.24)"
15,15,"(0.248, 0.248)","(0.221, 0.221)","(0.245, 0.245)","(0.265, 0.265)","(0.242, 0.242)","(0.232, 0.232)","(0.248, 0.248)","(0.228, 0.228)"
16,16,"(0.253, 0.253)","(0.233, 0.233)","(0.25, 0.25)","(0.23, 0.23)","(0.254, 0.254)","(0.233, 0.233)","(0.236, 0.236)","(0.225, 0.225)"
17,17,"(0.242, 0.242)","(0.271, 0.271)","(0.247, 0.247)","(0.23, 0.23)","(0.221, 0.221)","(0.256, 0.256)","(0.213, 0.213)","(0.255, 0.255)"
18,18,"(0.229, 0.229)","(0.266, 0.266)","(0.232, 0.232)","(0.246, 0.246)","(0.24, 0.24)","(0.25, 0.25)","(0.218, 0.218)","(0.251, 0.251)"
19,19,"(0.238, 0.238)","(0.224, 0.224)","(0.23, 0.23)","(0.248, 0.248)","(0.242, 0.242)","(0.266, 0.266)","(0.252, 0.252)","(0.242, 0.242)"
20,20,"(0.235, 0.235)","(0.255, 0.255)","(0.235, 0.235)","(0.251, 0.251)","(0.24, 0.24)","(0.247, 0.247)","(0.23, 0.23)","(0.232, 0.232)"
21,21,"(0.263, 0.263)","(0.256, 0.256)","(0.25, 0.25)","(0.248, 0.248)","(0.248, 0.248)","(0.263, 0.263)","(0.245, 0.245)","(0.23, 0.23)"
22,22,"(0.223, 0.223)","(0.233, 0.233)","(0.249, 0.249)","(0.249, 0.249)","(0.229, 0.229)","(0.244, 0.244)","(0.235, 0.235)","(0.248, 0.248)"
23,23,"(0.239, 0.239)","(0.255, 0.255)","(0.241, 0.241)","(0.243, 0.243)","(0.241, 0.241)","(0.213, 0.213)","(0.234, 0.234)","(0.258, 0.258)"
24,24,"(0.253, 0.253)","(0.231, 0.231)","(0.254, 0.254)","(0.239, 0.239)","(0.233, 0.233)","(0.254, 0.254)","(0.238, 0.238)","(0.25, 0.25)"
25,25,"(0.275, 0.275)","(0.259, 0.259)","(0.253, 0.253)","(0.233, 0.233)","(0.252, 0.252)","(0.23, 0.23)","(0.266, 0.266)","(0.253, 0.253)"
26,26,"(0.234, 0.234)","(0.247, 0.247)","(0.23, 0.23)","(0.245, 0.245)","(0.255, 0.255)","(0.253, 0.253)","(0.243, 0.243)","(0.244, 0.244)"
27,27,"(0.273, 0.273)","(0.273, 0.273)","(0.232, 0.232)","(0.249, 0.249)","(0.25, 0.25)","(0.25, 0.25)","(0.245, 0.245)","(0.237, 0.237)"
28,28,"(0.259, 0.259)","(0.26, 0.26)","(0.238, 0.238)","(0.247, 0.247)","(0.239, 0.239)","(0.242, 0.242)","(0.225, 0.225)","(0.234, 0.234)"
29,29,"(0.247, 0.247)","(0.241, 0.241)","(0.248, 0.248)","(0.225, 0.225)","(0.232, 0.232)","(0.234, 0.234)","(0.289, 0.289)","(0.239, 0.239)"
30,30,"(0.264, 0.264)","(0.228, 0.228)","(0.23, 0.23)","(0.246, 0.246)","(0.237, 0.237)","(0.254, 0.254)","(0.253, 0.253)","(0.243, 0.243)"
31,31,"(0.263, 0.263)","(0.262, 0.262)","(0.245, 0.245)","(0.231, 0.231)","(0.244, 0.244)","(0.225, 0.225)","(0.235, 0.235)","(0.258, 0.258)"
32,32,"(0.214, 0.214)","(0.222, 0.222)","(0.239, 0.239)","(0.262, 0.262)","(0.264, 0.264)","(0.247, 0.247)","(0.229, 0.229)","(0.204, 0.204)"
33,33,"(0.241, 0.241)","(0.243, 0.243)","(0.224, 0.224)","(0.228, 0.228)","(0.229, 0.229)","(0.249, 0.249)","(0.287, 0.287)","(0.235, 0.235)"
34,34,"(0.265, 0.265)","(0.244, 0.244)","(0.269, 0.269)","(0.216, 0.216)","(0.246, 0.246)","(0.253, 0.253)","(0.247, 0.247)","(0.252, 0.252)"
35,35,"(0.248, 0.248)","(0.23, 0.23)","(0.222, 0.222)","(0.235, 0.235)","(0.224, 0.224)","(0.245, 0.245)","(0.254, 0.254)","(0.236, 0.236)"
36,36,"(0.254, 0.254)","(0.252, 0.252)","(0.237, 0.237)","(0.264, 0.264)","(0.246, 0.246)","(0.272, 0.272)","(0.239, 0.239)","(0.249, 0.249)"
