,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
22,22,"(0.195, 0.195)","(0.2, 0.2)","(0.188, 0.188)","(0.191, 0.191)","(0.221, 0.221)","(0.228, 0.228)","(0.19, 0.19)","(0.217, 0.217)"
23,23,"(0.203, 0.203)","(0.215, 0.215)","(0.233, 0.233)","(0.189, 0.189)","(0.217, 0.217)","(0.198, 0.198)","(0.228, 0.228)","(0.193, 0.193)"
24,24,"(0.19, 0.19)","(0.185, 0.185)","(0.21, 0.21)","(0.201, 0.201)","(0.184, 0.184)","(0.198, 0.198)","(0.209, 0.209)","(0.193, 0.193)"
25,25,"(0.212, 0.212)","(0.19, 0.19)","(0.22, 0.22)","(0.228, 0.228)","(0.21, 0.21)","(0.199, 0.199)","(0.203, 0.203)","(0.199, 0.199)"
26,26,"(0.204, 0.204)","(0.22, 0.22)","(0.203, 0.203)","(0.21, 0.21)","(0.225, 0.225)","(0.217, 0.217)","(0.195, 0.195)","(0.192, 0.192)"
27,27,"(0.209, 0.209)","(0.18, 0.18)","(0.224, 0.224)","(0.211, 0.211)","(0.221, 0.221)","(0.2, 0.2)","(0.217, 0.217)","(0.226, 0.226)"
28,28,"(0.236, 0.236)","(0.21, 0.21)","(0.197, 0.197)","(0.203, 0.203)","(0.206, 0.206)","(0.193, 0.193)","(0.209, 0.209)","(0.225, 0.225)"
29,29,"(0.21, 0.21)","(0.209, 0.209)","(0.189, 0.189)","(0.183, 0.183)","(0.191, 0.191)","(0.213, 0.213)","(0.204, 0.204)","(0.189, 0.189)"
30,30,"(0.184, 0.184)","(0.211, 0.211)","(0.209, 0.209)","(0.21, 0.21)","(0.209, 0.209)","(0.192, 0.192)","(0.207, 0.207)","(0.22, 0.22)"
31,31,"(0.182, 0.182)","(0.193, 0.193)","(0.209, 0.209)","(0.191, 0.191)","(0.207, 0.207)","(0.193, 0.193)","(0.214, 0.214)","(0.187, 0.187)"
32,32,"(0.177, 0.177)","(0.219, 0.219)","(0.218, 0.218)","(0.217, 0.217)","(0.198, 0.198)","(0.208, 0.208)","(0.192, 0.192)","(0.195, 0.195)"
33,33,"(0.189, 0.189)","(0.211, 0.211)","(0.207, 0.207)","(0.217, 0.217)","(0.201, 0.201)","(0.205, 0.205)","(0.223, 0.223)","(0.192, 0.192)"
34,34,"(0.203, 0.203)","(0.217, 0.217)","(0.21, 0.21)","(0.206, 0.206)","(0.179, 0.179)","(0.212, 0.212)","(0.208, 0.208)","(0.215, 0.215)"
35,35,"(0.205, 0.205)","(0.184, 0.184)","(0.196, 0.196)","(0.206, 0.206)","(0.208, 0.208)","(0.206, 0.206)","(0.211, 0.211)","(0.203, 0.203)"
36,36,"(0.2, 0.2)","(0.201, 0.201)","(0.201, 0.201)","(0.193, 0.193)","(0.204, 0.204)","(0.211, 0.211)","(0.195, 0.195)","(0.223, 0.223)"
37,37,"(0.209, 0.209)","(0.208, 0.208)","(0.218, 0.218)","(0.192, 0.192)","(0.185, 0.185)","(0.207, 0.207)","(0.216, 0.216)","(0.22, 0.22)"
38,38,"(0.194, 0.194)","(0.216, 0.216)","(0.183, 0.183)","(0.19, 0.19)","(0.212, 0.212)","(0.208, 0.208)","(0.228, 0.228)","(0.193, 0.193)"
39,39,"(0.203, 0.203)","(0.217, 0.217)","(0.207, 0.207)","(0.198, 0.198)","(0.219, 0.219)","(0.196, 0.196)","(0.207, 0.207)","(0.2, 0.2)"
40,40,"(0.216, 0.216)","(0.203, 0.203)","(0.241, 0.241)","(0.19, 0.19)","(0.19, 0.19)","(0.181, 0.181)","(0.224, 0.224)","(0.209, 0.209)"
41,41,"(0.24, 0.24)","(0.203, 0.203)","(0.186, 0.186)","(0.225, 0.225)","(0.194, 0.194)","(0.187, 0.187)","(0.226, 0.226)","(0.211, 0.211)"
42,42,"(0.173, 0.173)","(0.181, 0.181)","(0.199, 0.199)","(0.188, 0.188)","(0.203, 0.203)","(0.193, 0.193)","(0.21, 0.21)","(0.224, 0.224)"
43,43,"(0.219, 0.219)","(0.197, 0.197)","(0.222, 0.222)","(0.193, 0.193)","(0.206, 0.206)","(0.21, 0.21)","(0.179, 0.179)","(0.21, 0.21)"
44,44,"(0.197, 0.197)","(0.215, 0.215)","(0.213, 0.213)","(0.236, 0.236)","(0.215, 0.215)","(0.186, 0.186)","(0.208, 0.208)","(0.196, 0.196)"
45,45,"(0.212, 0.212)","(0.209, 0.209)","(0.214, 0.214)","(0.193, 0.193)","(0.227, 0.227)","(0.223, 0.223)","(0.231, 0.231)","(0.197, 0.197)"
46,46,"(0.215, 0.215)","(0.22, 0.22)","(0.227, 0.227)","(0.2, 0.2)","(0.201, 0.201)","(0.198, 0.198)","(0.209, 0.209)","(0.23, 0.23)"
47,47,"(0.192, 0.192)","(0.198, 0.198)","(0.219, 0.219)","(0.184, 0.184)","(0.199, 0.199)","(0.214, 0.214)","(0.184, 0.184)","(0.203, 0.203)"
48,48,"(0.207, 0.207)","(0.202, 0.202)","(0.181, 0.181)","(0.228, 0.228)","(0.209, 0.209)","(0.191, 0.191)","(0.19, 0.19)","(0.204, 0.204)"
49,49,"(0.211, 0.211)","(0.214, 0.214)","(0.196, 0.196)","(0.217, 0.217)","(0.21, 0.21)","(0.21, 0.21)","(0.209, 0.209)","(0.211, 0.211)"
