,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
0,0,"(0.207, 0.207)","(0.22, 0.22)","(0.214, 0.214)","(0.238, 0.238)","(0.186, 0.186)","(0.216, 0.216)","(0.196, 0.196)","(0.204, 0.204)"
1,1,"(0.217, 0.217)","(0.234, 0.234)","(0.199, 0.199)","(0.219, 0.219)","(0.226, 0.226)","(0.215, 0.215)","(0.199, 0.199)","(0.227, 0.227)"
2,2,"(0.2, 0.2)","(0.19, 0.19)","(0.202, 0.202)","(0.193, 0.193)","(0.186, 0.186)","(0.197, 0.197)","(0.181, 0.181)","(0.196, 0.196)"
3,3,"(0.19, 0.19)","(0.2, 0.2)","(0.212, 0.212)","(0.224, 0.224)","(0.196, 0.196)","(0.212, 0.212)","(0.221, 0.221)","(0.221, 0.221)"
4,4,"(0.192, 0.192)","(0.216, 0.216)","(0.217, 0.217)","(0.227, 0.227)","(0.204, 0.204)","(0.225, 0.225)","(0.193, 0.193)","(0.197, 0.197)"
5,5,"(0.216, 0.216)","(0.198, 0.198)","(0.2, 0.2)","(0.198, 0.198)","(0.202, 0.202)","(0.185, 0.185)","(0.202, 0.202)","(0.208, 0.208)"
6,6,"(0.183, 0.183)","(0.196, 0.196)","(0.219, 0.219)","(0.211, 0.211)","(0.215, 0.215)","(0.2, 0.2)","(0.218, 0.218)","(0.193, 0.193)"
7,7,"(0.209, 0.209)","(0.213, 0.213)","(0.213, 0.213)","(0.199, 0.199)","(0.189, 0.189)","(0.23, 0.23)","(0.215, 0.215)","(0.236, 0.236)"
8,8,"(0.202, 0.202)","(0.215, 0.215)","(0.191, 0.191)","(0.208, 0.208)","(0.182, 0.182)","(0.191, 0.191)","(0.223, 0.223)","(0.214, 0.214)"
9,9,"(0.194, 0.194)","(0.191, 0.191)","(0.191, 0.191)","(0.221, 0.221)","(0.207, 0.207)","(0.206, 0.206)","(0.215, 0.215)","(0.229, 0.229)"
10,10,"(0.203, 0.203)","(0.212, 0.212)","(0.185, 0.185)","(0.193, 0.193)","(0.19, 0.19)","(0.219, 0.219)","(0.196, 0.196)","(0.205, 0.205)"
11,11,"(0.183, 0.183)","(0.202, 0.202)","(0.203, 0.203)","(0.218, 0.218)","(0.241, 0.241)","(0.187, 0.187)","(0.195, 0.195)","(0.205, 0.205)"
12,12,"(0.203, 0.203)","(0.222, 0.222)","(0.22, 0.22)","(0.218, 0.218)","(0.222, 0.222)","(0.229, 0.229)","(0.191, 0.191)","(0.197, 0.197)"
13,13,"(0.234, 0.234)","(0.221, 0.221)","(0.197, 0.197)","(0.214, 0.214)","(0.206, 0.206)","(0.216, 0.216)","(0.179, 0.179)","(0.204, 0.204)"
14,14,"(0.206, 0.206)","(0.214, 0.214)","(0.209, 0.209)","(0.201, 0.201)","(0.211, 0.211)","(0.21, 0.21)","(0.217, 0.217)","(0.211, 0.211)"
15,15,"(0.192, 0.192)","(0.217, 0.217)","(0.221, 0.221)","(0.192, 0.192)","(0.207, 0.207)","(0.182, 0.182)","(0.184, 0.184)","(0.199, 0.199)"
16,16,"(0.197, 0.197)","(0.214, 0.214)","(0.19, 0.19)","(0.209, 0.209)","(0.205, 0.205)","(0.186, 0.186)","(0.207, 0.207)","(0.22, 0.22)"
17,17,"(0.223, 0.223)","(0.194, 0.194)","(0.209, 0.209)","(0.201, 0.201)","(0.217, 0.217)","(0.195, 0.195)","(0.214, 0.214)","(0.216, 0.216)"
18,18,"(0.204, 0.204)","(0.204, 0.204)","(0.204, 0.204)","(0.2, 0.2)","(0.23, 0.23)","(0.211, 0.211)","(0.198, 0.198)","(0.201, 0.201)"
19,19,"(0.21, 0.21)","(0.215, 0.215)","(0.208, 0.208)","(0.205, 0.205)","(0.182, 0.182)","(0.182, 0.182)","(0.211, 0.211)","(0.199, 0.199)"
20,20,"(0.212, 0.212)","(0.217, 0.217)","(0.215, 0.215)","(0.199, 0.199)","(0.227, 0.227)","(0.201, 0.201)","(0.19, 0.19)","(0.212, 0.212)"
21,21,"(0.196, 0.196)","(0.206, 0.206)","(0.202, 0.202)","(0.209, 0.209)","(0.199, 0.199)","(0.203, 0.203)","(0.215, 0.215)","(0.211, 0.211)"
