,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
0,0,"(0.069, 0.069)","(0.066, 0.066)","(0.065, 0.065)","(0.059, 0.059)","(0.057, 0.057)","(0.054, 0.054)","(0.072, 0.072)","(0.07, 0.07)"
1,1,"(0.077, 0.077)","(0.058, 0.058)","(0.06, 0.06)","(0.079, 0.079)","(0.075, 0.075)","(0.059, 0.059)","(0.064, 0.064)","(0.07, 0.07)"
2,2,"(0.07, 0.07)","(0.065, 0.065)","(0.069, 0.069)","(0.069, 0.069)","(0.051, 0.051)","(0.053, 0.053)","(0.068, 0.068)","(0.057, 0.057)"
3,3,"(0.06, 0.06)","(0.091, 0.091)","(0.073, 0.073)","(0.073, 0.073)","(0.063, 0.063)","(0.063, 0.063)","(0.06, 0.06)","(0.058, 0.058)"
4,4,"(0.072, 0.072)","(0.053, 0.053)","(0.082, 0.082)","(0.069, 0.069)","(0.073, 0.073)","(0.064, 0.064)","(0.057, 0.057)","(0.075, 0.075)"
5,5,"(0.061, 0.061)","(0.058, 0.058)","(0.059, 0.059)","(0.06, 0.06)","(0.067, 0.067)","(0.077, 0.077)","(0.062, 0.062)","(0.07, 0.07)"
6,6,"(0.068, 0.068)","(0.058, 0.058)","(0.077, 0.077)","(0.071, 0.071)","(0.052, 0.052)","(0.058, 0.058)","(0.068, 0.068)","(0.056, 0.056)"
7,7,"(0.079, 0.079)","(0.067, 0.067)","(0.065, 0.065)","(0.077, 0.077)","(0.089, 0.089)","(0.089, 0.089)","(0.055, 0.055)","(0.062, 0.062)"
8,8,"(0.06, 0.06)","(0.057, 0.057)","(0.069, 0.069)","(0.07, 0.07)","(0.059, 0.059)","(0.074, 0.074)","(0.052, 0.052)","(0.064, 0.064)"
9,9,"(0.071, 0.071)","(0.065, 0.065)","(0.074, 0.074)","(0.078, 0.078)","(0.048, 0.048)","(0.066, 0.066)","(0.065, 0.065)","(0.075, 0.075)"
