,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
10,10,"(0.064, 0.064)","(0.064, 0.064)","(0.064, 0.064)","(0.067, 0.067)","(0.064, 0.064)","(0.053, 0.053)","(0.065, 0.065)","(0.053, 0.053)"
11,11,"(0.058, 0.058)","(0.062, 0.062)","(0.07, 0.07)","(0.069, 0.069)","(0.059, 0.059)","(0.059, 0.059)","(0.068, 0.068)","(0.069, 0.069)"
12,12,"(0.062, 0.062)","(0.081, 0.081)","(0.067, 0.067)","(0.061, 0.061)","(0.063, 0.063)","(0.078, 0.078)","(0.062, 0.062)","(0.078, 0.078)"
13,13,"(0.063, 0.063)","(0.064, 0.064)","(0.049, 0.049)","(0.054, 0.054)","(0.071, 0.071)","(0.07, 0.07)","(0.049, 0.049)","(0.07, 0.07)"
14,14,"(0.05, 0.05)","(0.069, 0.069)","(0.067, 0.067)","(0.059, 0.059)","(0.067, 0.067)","(0.049, 0.049)","(0.064, 0.064)","(0.067, 0.067)"
15,15,"(0.066, 0.066)","(0.058, 0.058)","(0.065, 0.065)","(0.055, 0.055)","(0.066, 0.066)","(0.07, 0.07)","(0.07, 0.07)","(0.059, 0.059)"
16,16,"(0.064, 0.064)","(0.065, 0.065)","(0.063, 0.063)","(0.077, 0.077)","(0.06, 0.06)","(0.075, 0.075)","(0.059, 0.059)","(0.059, 0.059)"
17,17,"(0.068, 0.068)","(0.079, 0.079)","(0.066, 0.066)","(0.064, 0.064)","(0.054, 0.054)","(0.074, 0.074)","(0.061, 0.061)","(0.062, 0.062)"
18,18,"(0.06, 0.06)","(0.066, 0.066)","(0.059, 0.059)","(0.076, 0.076)","(0.048, 0.048)","(0.072, 0.072)","(0.065, 0.065)","(0.053, 0.053)"
19,19,"(0.055, 0.055)","(0.062, 0.062)","(0.083, 0.083)","(0.077, 0.077)","(0.061, 0.061)","(0.071, 0.071)","(0.071, 0.071)","(0.062, 0.062)"
20,20,"(0.071, 0.071)","(0.073, 0.073)","(0.065, 0.065)","(0.075, 0.075)","(0.068, 0.068)","(0.084, 0.084)","(0.08, 0.08)","(0.072, 0.072)"
21,21,"(0.056, 0.056)","(0.068, 0.068)","(0.056, 0.056)","(0.061, 0.061)","(0.087, 0.087)","(0.064, 0.064)","(0.056, 0.056)","(0.061, 0.061)"
22,22,"(0.058, 0.058)","(0.066, 0.066)","(0.061, 0.061)","(0.064, 0.064)","(0.067, 0.067)","(0.074, 0.074)","(0.055, 0.055)","(0.064, 0.064)"
23,23,"(0.061, 0.061)","(0.058, 0.058)","(0.063, 0.063)","(0.058, 0.058)","(0.063, 0.063)","(0.052, 0.052)","(0.051, 0.051)","(0.076, 0.076)"
24,24,"(0.053, 0.053)","(0.063, 0.063)","(0.045, 0.045)","(0.07, 0.07)","(0.057, 0.057)","(0.068, 0.068)","(0.07, 0.07)","(0.07, 0.07)"
25,25,"(0.067, 0.067)","(0.068, 0.068)","(0.055, 0.055)","(0.061, 0.061)","(0.064, 0.064)","(0.062, 0.062)","(0.07, 0.07)","(0.061, 0.061)"
26,26,"(0.063, 0.063)","(0.073, 0.073)","(0.07, 0.07)","(0.051, 0.051)","(0.07, 0.07)","(0.074, 0.074)","(0.058, 0.058)","(0.057, 0.057)"
27,27,"(0.066, 0.066)","(0.064, 0.064)","(0.068, 0.068)","(0.069, 0.069)","(0.055, 0.055)","(0.06, 0.06)","(0.058, 0.058)","(0.073, 0.073)"
28,28,"(0.065, 0.065)","(0.068, 0.068)","(0.064, 0.064)","(0.064, 0.064)","(0.064, 0.064)","(0.067, 0.067)","(0.072, 0.072)","(0.056, 0.056)"
29,29,"(0.049, 0.049)","(0.061, 0.061)","(0.049, 0.049)","(0.064, 0.064)","(0.068, 0.068)","(0.07, 0.07)","(0.064, 0.064)","(0.053, 0.053)"
30,30,"(0.055, 0.055)","(0.066, 0.066)","(0.055, 0.055)","(0.061, 0.061)","(0.07, 0.07)","(0.072, 0.072)","(0.065, 0.065)","(0.062, 0.062)"
31,31,"(0.077, 0.077)","(0.067, 0.067)","(0.053, 0.053)","(0.066, 0.066)","(0.061, 0.061)","(0.06, 0.06)","(0.05, 0.05)","(0.064, 0.064)"
32,32,"(0.065, 0.065)","(0.072, 0.072)","(0.059, 0.059)","(0.058, 0.058)","(0.067, 0.067)","(0.067, 0.067)","(0.067, 0.067)","(0.069, 0.069)"
33,33,"(0.065, 0.065)","(0.068, 0.068)","(0.076, 0.076)","(0.06, 0.06)","(0.058, 0.058)","(0.069, 0.069)","(0.058, 0.058)","(0.069, 0.069)"
34,34,"(0.064, 0.064)","(0.062, 0.062)","(0.061, 0.061)","(0.062, 0.062)","(0.064, 0.064)","(0.057, 0.057)","(0.074, 0.074)","(0.053, 0.053)"
35,35,"(0.066, 0.066)","(0.065, 0.065)","(0.062, 0.062)","(0.05, 0.05)","(0.063, 0.063)","(0.072, 0.072)","(0.069, 0.069)","(0.065, 0.065)"
36,36,"(0.055, 0.055)","(0.073, 0.073)","(0.069, 0.069)","(0.074, 0.074)","(0.046, 0.046)","(0.068, 0.068)","(0.066, 0.066)","(0.062, 0.062)"
37,37,"(0.059, 0.059)","(0.06, 0.06)","(0.063, 0.063)","(0.059, 0.059)","(0.073, 0.073)","(0.06, 0.06)","(0.054, 0.054)","(0.059, 0.059)"
38,38,"(0.057, 0.057)","(0.064, 0.064)","(0.06, 0.06)","(0.046, 0.046)","(0.068, 0.068)","(0.065, 0.065)","(0.079, 0.079)","(0.068, 0.068)"
39,39,"(0.062, 0.062)","(0.064, 0.064)","(0.071, 0.071)","(0.072, 0.072)","(0.061, 0.061)","(0.064, 0.064)","(0.06, 0.06)","(0.071, 0.071)"
40,40,"(0.057, 0.057)","(0.066, 0.066)","(0.066, 0.066)","(0.069, 0.069)","(0.06, 0.06)","(0.069, 0.069)","(0.065, 0.065)","(0.064, 0.064)"
41,41,"(0.062, 0.062)","(0.061, 0.061)","(0.06, 0.06)","(0.06, 0.06)","(0.048, 0.048)","(0.068, 0.068)","(0.065, 0.065)","(0.072, 0.072)"
42,42,"(0.071, 0.071)","(0.062, 0.062)","(0.071, 0.071)","(0.056, 0.056)","(0.072, 0.072)","(0.051, 0.051)","(0.069, 0.069)","(0.061, 0.061)"
43,43,"(0.054, 0.054)","(0.065, 0.065)","(0.062, 0.062)","(0.061, 0.061)","(0.072, 0.072)","(0.069, 0.069)","(0.056, 0.056)","(0.066, 0.066)"
44,44,"(0.061, 0.061)","(0.079, 0.079)","(0.052, 0.052)","(0.055, 0.055)","(0.066, 0.066)","(0.062, 0.062)","(0.059, 0.059)","(0.065, 0.065)"
45,45,"(0.066, 0.066)","(0.064, 0.064)","(0.059, 0.059)","(0.071, 0.071)","(0.064, 0.064)","(0.07, 0.07)","(0.049, 0.049)","(0.055, 0.055)"
46,46,"(0.072, 0.072)","(0.054, 0.054)","(0.062, 0.062)","(0.057, 0.057)","(0.071, 0.071)","(0.058, 0.058)","(0.063, 0.063)","(0.059, 0.059)"
47,47,"(0.061, 0.061)","(0.06, 0.06)","(0.065, 0.065)","(0.059, 0.059)","(0.066, 0.066)","(0.051, 0.051)","(0.068, 0.068)","(0.064, 0.064)"
48,48,"(0.07, 0.07)","(0.06, 0.06)","(0.069, 0.069)","(0.056, 0.056)","(0.068, 0.068)","(0.05, 0.05)","(0.072, 0.072)","(0.074, 0.074)"
49,49,"(0.071, 0.071)","(0.061, 0.061)","(0.066, 0.066)","(0.067, 0.067)","(0.075, 0.075)","(0.059, 0.059)","(0.075, 0.075)","(0.071, 0.071)"
