,Replication,"(0.0, -0.0, 0.0, 0.0, 0.0)"
0,0,"([62, 56, 6, 14, 43, 85, 64, 38, 70, 64], [46.1155120903718, 66.66263613155863, 41.59170542255974, 41.32957139493346, 38.65657110424815, 70.08822261288549, 64, 38, 50.86919669591823, 37.6042753193722])"
1,1,"([44, 93, 62, 19, 8, 78, 96, 96, 66, 40], [86.09234293442685, 83.85949228559963, 70.43681332908812, 87.76370331837045, 79.66683091852023, 87.92603431989085, 89.26467051069547, 81.86119725161731, 67.66832981626098, 80.43996087435485])"
2,2,"([27, 83, 0, 86, 26, 3, 21, 29, 21, 59], [25.51289998945235, 52.77660462812143, 0, 33.465260885909956, 30.01604820303925, 3, 28.601915729106913, 29, 21, 59])"
3,3,"([49, 85, 47, 40, 47, 50, 68, 43, 25, 88], [80.46090041090864, 75.69639631612839, 81.7214595750933, 75.1485869941315, 74.3210322472119, 82.12347287408083, 80.49482378952922, 71.40445307794444, 79.5657789818885, 88])"
4,4,"([59, 8, 35, 35, 75, 83, 43, 19, 26, 12], [68.4051492031542, 8, 32.48966991981448, 75.39291919637603, 45.200069147506866, 22.56108863611564, 24.771590952322253, 39.6345895526741, 42.14973733574291, 18.58555386972879])"
5,5,"([51, 32, 27, 67, 88, 84, 31, 5, 12, 5], [25.5, 32, 27, 52.68550992833619, 40.05944387847046, 49.12084530616043, 17.379708466817824, 24.496048584862592, 27.60642393342627, 26.27179302352839])"
6,6,"([87, 27, 6, 62, 9, 5, 89, 55, 80, 23], [2.212942981966762, 19.74234010691261, 6, 62, 3.4364142163369964, 2.771016389278416, 56.96583515460099, 40.284808488298935, 7.047316090143434, 3.1279001183619854])"
7,7,"([79, 19, 97, 54, 12, 44, 77, 56, 69, 81], [75.34106317708748, 19, 75.59070355938636, 75.28468664011412, 67.86247259451169, 65.94246541658427, 64.76407809904703, 39.90327166493376, 71.07424889250554, 50.95655090969484])"
8,8,"([57, 25, 67, 48, 0, 8, 89, 50, 25, 67], [57, 26.822972116961466, 85.70997206647863, 48.03326994095963, 58.45977789936178, 18.952338690531704, 89, 65.3047831098016, 12.897166190431868, 23.938146673383855])"
