,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, -0.1, -0.1, -0.1, <BeliefUpdate.SAMPLE: 0>)","((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, -0.1, -0.1, -0.1, <BeliefUpdate.DEFFUANT: 1>)","((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, -0.1, -0.1, -0.1, <BeliefUpdate.SIT: 2>)"
0,0,"([61, 53, 35, 16, 19, 68, 55, 30, 84, 96, 81, 89, 14, 68, 95, 15, 100, 35, 50, 71, 29, 32, 100, 64, 15, 97, 57, 51, 45, 81, 99, 89, 84, 24, 13, 30, 99, 18, 0, 72, 69, 95, 56, 30, 29, 43, 80, 89, 15, 42], [85.72702848985737, 83.18026462849716, 82.85049537353962, 87.93590770797371, 85.7525686898664, 87.78668342368078, 86.39620090042894, 81.27742053207615, 88.7581787374931, 90.29671010697766, 86.80036407471488, 91.70128761056651, 81.55500887856442, 83.48708049830145, 84.47736231707083, 85.23896065949296, 86.88259977974249, 82.51010865878438, 93.09660020733514, 84.68568624058554, 87.67174258203724, 81.8081752523182, 82.6808007983548, 95.01330266857768, 82.69553271344878, 87.38129804400404, 84.58593496698708, 81.68486792126475, 83.86520492665568, 81.29477184010088, 82.7397566448959, 85.35382322949582, 89.85778372071891, 76.8126895104865, 67.94662115568754, 88.78124851024346, 86.37182574685036, 73.01405026997799, 86.86187251307877, 91.28477016902617, 89.93693817040545, 88.64270340301347, 79.23577124729368, 86.37867577288094, 81.75057767214989, 85.82767507318692, 88.3679929083661, 83.59504469438787, 87.55133664992626, 49.86926496012729])","([99, 72, 29, 18, 92, 24, 64, 72, 80, 40, 91, 15, 94, 54, 50, 66, 81, 29, 61, 56, 71, 14, 22, 27, 79, 25, 57, 31, 4, 81, 43, 99, 87, 62, 70, 46, 66, 25, 69, 10, 8, 84, 2, 89, 99, 60, 71, 100, 52, 30], [76.35341423352239, 75.05639705148363, 74.76366953969837, 72.0124156485783, 75.85294265667281, 74.98762024606084, 76.98792465827404, 75.00913269867029, 77.38108593004628, 76.53073577315914, 77.69097512140607, 72.51799291198539, 74.16451924106099, 74.33495644070908, 75.23563355198537, 74.04519714074445, 73.8665549846658, 71.78341300752612, 74.08598000254197, 68.87691692897891, 75.62227397848548, 70.5181531443175, 73.46056789442216, 74.0606428132409, 71.52311100557004, 68.13431238899915, 74.07887362688955, 70.55742467781454, 63.656634049610474, 76.2649988371493, 75.68802937535801, 79.01950137074618, 76.09781438821815, 74.80937579565075, 75.30733485405176, 77.06431170495426, 70.38426516177128, 60.75154520501365, 72.25112968488799, 69.9844297427148, 62.35440797809062, 80.87289310911653, 73.18171510704845, 75.20381568895125, 74.09304781216211, 75.29940910944089, 73.98778350662101, 79.5065379075501, 75.20946233033112, 72.96106357038344])","([58, 44, 3, 22, 75, 63, 67, 71, 36, 0, 67, 24, 50, 14, 79, 10, 73, 20, 29, 3, 100, 96, 46, 51, 22, 32, 75, 79, 15, 61, 70, 20, 50, 14, 48, 65, 91, 79, 82, 7, 52, 46, 59, 67, 86, 29, 37, 40, 34, 65], [64.55438459027195, 75.80193904676169, 6.002245991562204, 76.21117479231184, 76.01450069113987, 74.741781358244, 76.5507404631268, 75.2063234813732, 58.15369387267998, 1.7230970416822116, 75.9170674255091, 75.78093165560455, 81.54013117600853, 18.678329825866317, 73.02573892850025, 75.49650143951172, 68.37200207873906, 77.16719315833306, 76.02307899234086, 11.831626951111486, 99.58193571643903, 95.05524468720631, 80.54535672491805, 71.06412151601775, 68.11901759043958, 85.16399264618688, 70.74221169665614, 53.73355088787159, 69.82106303864667, 73.56481963654531, 77.51624787338636, 77.02147226499136, 74.22026739774788, 67.28050936855415, 65.27259158805339, 35.8414878894334, 87.75495950547337, 69.0262498865576, 79.54921922091587, 11.702055896045165, 75.42372872014445, 74.32367663888951, 73.53288080387618, 75.23547586469128, 78.55405995001279, 17.1698653097707, 71.60179417987982, 74.99524865415508, 74.69648739574217, 74.3096357063102])"
1,1,"([19, 76, 60, 7, 30, 7, 69, 51, 73, 94, 43, 89, 96, 58, 73, 38, 67, 26, 80, 2, 31, 94, 84, 35, 41, 25, 15, 98, 18, 77, 49, 58, 47, 83, 13, 22, 88, 83, 19, 46, 96, 56, 29, 36, 69, 67, 78, 99, 37, 87], [48.851762398330436, 79.1001481789286, 65.53536107746122, 79.15506603250722, 69.84865681486738, 85.00703386550443, 82.48152541933845, 82.15142990210572, 76.07061733142974, 81.28152182298282, 76.26521850066084, 78.6494316916502, 82.66455959309758, 79.63227251144431, 80.30873767768568, 77.37498535506631, 73.83127754289224, 62.42059763870398, 59.08072277269934, 2, 57.938098142452404, 56.52487594400151, 80.20707434883307, 35, 60.036935415818995, 58.354500140579056, 68.81082863458495, 74.13528390286464, 76.47123079595016, 79.37182801113269, 85.58500322546521, 67.32290840865346, 77.30550290015763, 85.22299945231586, 53.77951106344568, 81.87711219908314, 75.76932679194928, 81.65102641148388, 58.464050359614966, 48.62669925504156, 79.12281441103794, 80.70680579214554, 57.457059784941364, 77.65465214165107, 70.4525947222381, 61.07585747595542, 84.44205086898671, 80.19172552932031, 58.28538917660717, 86.41076101464913])","([36, 62, 0, 79, 57, 36, 51, 13, 83, 25, 87, 24, 66, 84, 17, 6, 40, 65, 54, 51, 68, 6, 31, 4, 92, 8, 60, 34, 2, 3, 60, 10, 26, 97, 77, 25, 9, 56, 55, 27, 2, 59, 5, 79, 92, 93, 97, 51, 43, 60], [32.46905726393805, 49.4541300651526, 35.65458116894726, 43.328204513600916, 37.12677330371786, 43.37794426369789, 63.40746981360265, 58.61712575624924, 51.10449452793423, 31.429999788736506, 31.9580004505245, 58.053926701946516, 55.359218380709855, 69.8607488173596, 36.07985010225009, 22.48768283216336, 51.374671250280485, 29.65824335343945, 23.64031420047319, 76.91697591956935, 38.51299827407431, 29.30814187751867, 30.47726171000962, 28.169642255232432, 23.613508289908474, 28.441005556904038, 36.74306795938997, 43.04965051199819, 27.06587690721501, 20.436388143865983, 44.67576760723132, 37.06711516753364, 45.88661511717115, 71.53253048042086, 64.3998040844774, 50.91333566384204, 20.151916295444256, 38.89167827483989, 59.358901042853915, 39.321587558968844, 22.890219433888916, 58.81064849179835, 66.76660113313955, 54.4283657407438, 77.24787697777751, 75.11845581893314, 81.1276034124645, 62.655356783949465, 28.82871163033283, 41.28876956093839])","([52, 22, 3, 53, 63, 89, 40, 35, 56, 61, 35, 97, 49, 61, 84, 52, 67, 46, 35, 80, 91, 96, 47, 2, 68, 2, 39, 95, 14, 94, 81, 22, 91, 53, 76, 86, 47, 22, 45, 50, 27, 94, 67, 28, 25, 84, 25, 43, 76, 55], [78.2690614075965, 79.13454081776476, 8.269683349019212, 78.31693664514178, 80.03848562948697, 85.65662200407269, 80.41890059476496, 84.66204449113047, 41.781579737551446, 83.62275749494113, 77.64460928038693, 95.41287032413592, 83.09644045695711, 80.71545080060254, 83.61763654609008, 82.92866592874861, 77.69058760367169, 79.20525383998388, 72.3680718193856, 80.87619557949165, 89.17532446686212, 92.93933483100362, 80.04756881299981, 6.931969345681087, 54.489322345076225, 9.406104376755028, 81.21399567874492, 88.65889322086467, 78.709562889442, 84.95592990649418, 85.41147773230925, 61.28822740452737, 80.99650166980075, 40.575268983120715, 42.45396060080936, 58.5401612726875, 85.73499679910458, 79.43429644467872, 87.69678125871746, 78.58045456176171, 76.95422951586704, 90.57064770063299, 79.53923888104342, 11.82723066989653, 69.1833384635963, 79.7205357467895, 33.06284771631272, 58.33108658828822, 83.99297167020053, 75.61401743047152])"
2,2,"([52, 47, 30, 56, 70, 15, 30, 32, 60, 87, 39, 60, 51, 81, 47, 18, 18, 27, 99, 37, 53, 80, 4, 85, 40, 42, 23, 52, 91, 76, 10, 31, 68, 96, 65, 63, 33, 29, 78, 2, 15, 10, 41, 46, 21, 80, 96, 26, 44, 55], [71.99786915755826, 63.42411882779305, 32.2552392443815, 73.64977621661805, 64.47571422182652, 38.47033677945894, 69.41073440892922, 56.4830194023751, 58.31887382221742, 78.18355854851961, 21.93887047201314, 60, 76.66472430289426, 78.18689707356631, 68.71638534885146, 56.15646972145056, 20.802331311436614, 58.85046664584951, 72.10141427430595, 80.44788988700004, 70.56637476703263, 79.76525375954898, 35.247069955538265, 76.63834807189573, 59.74658699476926, 80.21777794209643, 23, 62.037736874839375, 83.91874607590948, 79.17635772370949, 52.14933476002811, 56.14283062872302, 68, 72.9100724218064, 65.23724025646517, 62.74710116312794, 59.737212334446404, 61.266092393243156, 81.65577884915503, 24.885943404530686, 18.639377635060242, 10, 41, 79.56672445334715, 68.41899727776857, 81.63678926663712, 74.92717435068789, 33.65612363979226, 23.64587015829347, 55])","([22, 30, 54, 4, 84, 55, 30, 47, 22, 30, 93, 31, 23, 46, 59, 11, 35, 11, 100, 18, 23, 39, 22, 17, 83, 70, 86, 76, 80, 37, 96, 24, 64, 18, 3, 79, 32, 74, 3, 8, 66, 72, 61, 36, 16, 32, 20, 17, 59, 61], [14.30971553480443, 25.71968634598905, 15.049462802202855, 4, 11.5799355071777, 14.27698672726445, 11.605609371852694, 21.380857043047225, 15.234573795647053, 10.74225754855256, 27.452284970536663, 15.051274529557615, 10.61465980010911, 29.11894150071041, 11.564986885782666, 13.954110486041449, 7.727481978270782, 17.523974637731644, 17.163888905237236, 23.14577090010568, 20.84184167875746, 6.459631023760798, 20.532085256715693, 32.732487464192936, 34.62183981713032, 28.782849647303237, 12.557456903300693, 34.01703857389796, 22.708756348150526, 10.671230132806972, 10.391789976041805, 22.016678929468934, 16.643877390751843, 18.212058787128846, 15.466841082407539, 54.98324037542507, 6.191274387964926, 47.5842317113149, 14.660681782969906, 24.538796091670175, 16.68130036998621, 19.88395829204244, 35.38241729620646, 7.286222575615117, 22.914306883762794, 20.869658508136837, 6.599500767573452, 22.87905222730176, 16.36869601573163, 13.46422662471163])","([4, 3, 12, 51, 5, 72, 24, 1, 34, 51, 85, 87, 74, 93, 53, 67, 23, 44, 99, 38, 46, 100, 87, 61, 1, 63, 41, 21, 95, 29, 44, 48, 40, 56, 91, 44, 60, 55, 6, 77, 14, 82, 100, 37, 23, 24, 26, 97, 51, 15], [8.701450328195392, 4.033786900674761, 35.3854523472419, 76.80361035434153, 10.864270489130272, 33.030526834534676, 74.43336856867715, 1.5005534899946549, 74.31603891521705, 29.482102500489834, 69.14180234327597, 13.447591487936304, 18.901403905163786, 87.12209402806707, 62.92044067268848, 62.65359715271529, 50.51286766301811, 60.037513499009904, 97.546627838233, 18.03264584414689, 11.693475666355713, 62.14654803337884, 78.95026559431281, 32.65286776477167, 3.679058834250249, 26.30936099906675, 57.3664330927145, 84.33211602332554, 91.39039903123977, 68.8563382136949, 76.6330069358386, 23.064826260934236, 29.735049442219758, 46.348449293722204, 83.75791947006978, 49.71437575033068, 65.23218608863459, 80.40033014624484, 9.751074211247024, 89.15068415730383, 10.532825526987688, 82.06415764400916, 98.24263722527685, 55.79262031410617, 82.6523879418895, 24.417922169110764, 78.43352424304318, 95.43823797456815, 22.61902271429793, 21.5293651172094])"
