,Unnamed: 0,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
17205,17205,942.1,237.8323333333333,257.1785666666667,0.2095597489749584,40.61366666666667
16125,16125,942.1,237.8323333333333,257.1785666666667,0.2205176688728606,40.61366666666667
14037,14037,942.1,237.8323333333333,257.1785666666667,0.2095597489749584,40.61366666666667
15369,15369,942.1,237.8323333333333,257.1785666666667,0.224170308838828,40.61366666666667
14001,14001,942.1,237.8323333333333,257.1785666666667,0.205907109008991,40.61366666666667
15405,15405,942.1,237.8323333333333,257.1785666666667,0.2278229488047954,40.61366666666667
15441,15441,942.1,237.8323333333333,257.1785666666667,0.2314755887707629,40.61366666666667
13965,13965,942.1,237.8323333333333,257.1785666666667,0.2022544690430235,40.61366666666667
15513,15513,942.1,237.8323333333333,257.1785666666667,0.1986018290770561,40.61366666666667
13929,13929,942.1,237.8323333333333,257.1785666666667,0.1986018290770561,40.61366666666667
15549,15549,942.1,237.8323333333333,257.1785666666667,0.2022544690430235,40.61366666666667
15585,15585,942.1,237.8323333333333,257.1785666666667,0.205907109008991,40.61366666666667
13857,13857,942.1,237.8323333333333,257.1785666666667,0.2314755887707629,40.61366666666667
15621,15621,942.1,237.8323333333333,257.1785666666667,0.2095597489749584,40.61366666666667
15657,15657,942.1,237.8323333333333,257.1785666666667,0.2132123889409257,40.61366666666667
13821,13821,942.1,237.8323333333333,257.1785666666667,0.2278229488047954,40.61366666666667
15693,15693,942.1,237.8323333333333,257.1785666666667,0.2168650289068932,40.61366666666667
13785,13785,942.1,237.8323333333333,257.1785666666667,0.224170308838828,40.61366666666667
15729,15729,942.1,237.8323333333333,257.1785666666667,0.2205176688728606,40.61366666666667
15765,15765,942.1,237.8323333333333,257.1785666666667,0.224170308838828,40.61366666666667
