,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
0,613.1333333333333,385.6806666666667,149.99206666666666,0.0600412983697079,21.911333333333335
1,744.5333333333333,292.20833333333326,137.35060000000001,0.12445797966556268,21.307999999999996
2,852.2,209.24866666666668,145.91786666666667,0.17209931597300496,23.02333333333333
3,896.2333333333333,176.406,154.48703333333333,0.2043706535004928,24.508666666666667
4,906.9333333333333,173.73866666666663,156.57090000000005,0.23284397024263018,24.893666666666668
5,906.9666666666667,177.65033333333332,156.20173333333332,0.25743927124067406,24.822666666666667
6,613.1333333333333,385.6806666666667,149.99206666666666,0.0600412983697079,21.911333333333335
7,744.5333333333333,292.20833333333326,137.35060000000001,0.12445797966556268,21.307999999999996
8,852.2,209.24866666666668,145.91786666666667,0.17209931597300496,23.02333333333333
9,896.2333333333333,176.406,154.48703333333333,0.2043706535004928,24.508666666666667
10,906.9333333333333,173.73866666666663,156.57090000000005,0.23284397024263018,24.893666666666668
11,906.9666666666667,177.65033333333332,156.20173333333332,0.25743927124067406,24.822666666666667
12,613.1333333333333,385.6806666666667,149.99206666666666,0.0600412983697079,21.911333333333335
13,744.5333333333333,292.20833333333326,137.35060000000001,0.12445797966556268,21.307999999999996
14,852.2,209.24866666666668,145.91786666666667,0.17209931597300496,23.02333333333333
15,896.2333333333333,176.406,154.48703333333333,0.2043706535004928,24.508666666666667
16,906.9333333333333,173.73866666666663,156.57090000000005,0.23284397024263018,24.893666666666668
17,906.9666666666667,177.65033333333332,156.20173333333332,0.25743927124067406,24.822666666666667
18,613.1333333333333,385.6806666666667,149.99206666666666,0.0600412983697079,21.911333333333335
19,744.5333333333333,292.20833333333326,137.35060000000001,0.12445797966556268,21.307999999999996
20,852.2,209.24866666666668,145.91786666666667,0.17209931597300496,23.02333333333333
21,896.2333333333333,176.406,154.48703333333333,0.2043706535004928,24.508666666666667
22,906.9333333333333,173.73866666666663,156.57090000000005,0.23284397024263018,24.893666666666668
23,906.9666666666667,177.65033333333332,156.20173333333332,0.25743927124067406,24.822666666666667
24,613.1333333333333,385.6806666666667,149.99206666666666,0.0600412983697079,21.911333333333335
25,744.5333333333333,292.20833333333326,137.35060000000001,0.12445797966556268,21.307999999999996
26,852.2,209.24866666666668,145.91786666666667,0.17209931597300496,23.02333333333333
27,896.2333333333333,176.406,154.48703333333333,0.2043706535004928,24.508666666666667
28,906.9333333333333,173.73866666666663,156.57090000000005,0.23284397024263018,24.893666666666668
29,906.9666666666667,177.65033333333332,156.20173333333332,0.25743927124067406,24.822666666666667
