,Unnamed: 0,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
13132,13132,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
13168,13168,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
13204,13204,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
13240,13240,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
13276,13276,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
13312,13312,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
13348,13348,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
13384,13384,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
13420,13420,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
13456,13456,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
13528,13528,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
13564,13564,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
13600,13600,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
13636,13636,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
13672,13672,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
13708,13708,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
13744,13744,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
13780,13780,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
13816,13816,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
13852,13852,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
13924,13924,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
13960,13960,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
13996,13996,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
14032,14032,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
14068,14068,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
14104,14104,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
14140,14140,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
14176,14176,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
14212,14212,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
14248,14248,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
14320,14320,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
14356,14356,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
14392,14392,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
14428,14428,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
14464,14464,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
14500,14500,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
14536,14536,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
14572,14572,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
14608,14608,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
14644,14644,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
14716,14716,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
14752,14752,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
14788,14788,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
14824,14824,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
14860,14860,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
14896,14896,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
14932,14932,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
14968,14968,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
15004,15004,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
15040,15040,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
15112,15112,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
15148,15148,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
15184,15184,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
15220,15220,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
15256,15256,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
15292,15292,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
15328,15328,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
15364,15364,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
15400,15400,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
15436,15436,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
15508,15508,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
15544,15544,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
15580,15580,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
15616,15616,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
15652,15652,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
15688,15688,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
15724,15724,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
