,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
18753,18753,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,3.0,5.0,3.0,reference,71025,MisinfoPy
18789,18789,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,4.0,5.0,3.0,reference,71061,MisinfoPy
18825,18825,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,5.0,5.0,3.0,reference,71097,MisinfoPy
18861,18861,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,6.0,5.0,3.0,reference,71133,MisinfoPy
18897,18897,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,7.0,5.0,3.0,reference,71169,MisinfoPy
18933,18933,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,8.0,5.0,3.0,reference,71205,MisinfoPy
18969,18969,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,9.0,5.0,3.0,reference,71241,MisinfoPy
19005,19005,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,3.0,10.0,5.0,3.0,reference,71277,MisinfoPy
19077,19077,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,1.0,5.0,3.0,reference,71349,MisinfoPy
19113,19113,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,2.0,5.0,3.0,reference,71385,MisinfoPy
19149,19149,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,3.0,5.0,3.0,reference,71421,MisinfoPy
19185,19185,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,4.0,5.0,3.0,reference,71457,MisinfoPy
19221,19221,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,5.0,5.0,3.0,reference,71493,MisinfoPy
19257,19257,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,6.0,5.0,3.0,reference,71529,MisinfoPy
19293,19293,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,7.0,5.0,3.0,reference,71565,MisinfoPy
19329,19329,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,8.0,5.0,3.0,reference,71601,MisinfoPy
19365,19365,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,9.0,5.0,3.0,reference,71637,MisinfoPy
19401,19401,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,10.0,5.0,3.0,reference,71673,MisinfoPy
19473,19473,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,1.0,5.0,3.0,reference,71745,MisinfoPy
19509,19509,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,2.0,5.0,3.0,reference,71781,MisinfoPy
19545,19545,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,3.0,5.0,3.0,reference,71817,MisinfoPy
19581,19581,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,4.0,5.0,3.0,reference,71853,MisinfoPy
19617,19617,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,5.0,5.0,3.0,reference,71889,MisinfoPy
19653,19653,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,6.0,5.0,3.0,reference,71925,MisinfoPy
19689,19689,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,7.0,5.0,3.0,reference,71961,MisinfoPy
19725,19725,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,8.0,5.0,3.0,reference,71997,MisinfoPy
19761,19761,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,9.0,5.0,3.0,reference,72033,MisinfoPy
