,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
14217,14217,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,9.0,5.0,3.0,reference,14217,MisinfoPy
14253,14253,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,10.0,5.0,3.0,reference,14253,MisinfoPy
14325,14325,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,1.0,5.0,3.0,reference,14325,MisinfoPy
14361,14361,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,2.0,5.0,3.0,reference,14361,MisinfoPy
14397,14397,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,3.0,5.0,3.0,reference,14397,MisinfoPy
14433,14433,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,4.0,5.0,3.0,reference,14433,MisinfoPy
14469,14469,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,5.0,5.0,3.0,reference,14469,MisinfoPy
14505,14505,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,6.0,5.0,3.0,reference,14505,MisinfoPy
14541,14541,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,7.0,5.0,3.0,reference,14541,MisinfoPy
14577,14577,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,8.0,5.0,3.0,reference,14577,MisinfoPy
