,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
4029,836.8333333333334,649.9220000000001,217.57486666666662,0.27748716925639993,33.80999999999999
12726,750.8333333333334,746.6876666666666,240.16226666666668,0.11027358362742619,36.84866666666666
17094,755.2666666666667,745.3323333333333,238.4951666666667,0.11174046723172727,36.681666666666665
21452,836.1666666666666,647.8156666666666,220.08023333333333,0.24948735289068494,34.20266666666667
25801,815.9333333333333,669.9936666666665,224.4907666666667,0.1998420719024369,34.73266666666667
